,CSA,CSA_name,County_name,STCO
0,348,"Los Angeles-Long Beach, CA",Riverside,06065
1,348,"Los Angeles-Long Beach, CA",San Bernardino,06071
2,348,"Los Angeles-Long Beach, CA",Ventura,06111
3,176,"Chicago-Naperville, IL-IN-WI",Cook,17031
4,488,"San Jose-San Francisco-Oakland, CA",Alameda,06001
5,488,"San Jose-San Francisco-Oakland, CA",Contra Costa,06013
6,488,"San Jose-San Francisco-Oakland, CA",Marin,06041
7,488,"San Jose-San Francisco-Oakland, CA",Napa,06055
8,488,"San Jose-San Francisco-Oakland, CA",San Benito,06069
9,488,"San Jose-San Francisco-Oakland, CA",San Francisco,06075
10,488,"San Jose-San Francisco-Oakland, CA",San Joaquin,06077
11,488,"San Jose-San Francisco-Oakland, CA",San Mateo,06081
12,488,"San Jose-San Francisco-Oakland, CA",Santa Clara,06085
13,488,"San Jose-San Francisco-Oakland, CA",Santa Cruz,06087
14,488,"San Jose-San Francisco-Oakland, CA",Solano,06095
15,488,"San Jose-San Francisco-Oakland, CA",Sonoma,06097
16,348,"Los Angeles-Long Beach, CA",Los Angeles,06037
17,348,"Los Angeles-Long Beach, CA",Orange,06059
18,216,"Denver-Aurora, CO",Adams,08001
19,216,"Denver-Aurora, CO",Arapahoe,08005
20,216,"Denver-Aurora, CO",Boulder,08013
21,216,"Denver-Aurora, CO",Broomfield,08014
22,216,"Denver-Aurora, CO",Clear Creek,08019
23,216,"Denver-Aurora, CO",Denver,08031
24,216,"Denver-Aurora, CO",Douglas,08035
25,216,"Denver-Aurora, CO",Elbert,08039
26,216,"Denver-Aurora, CO",Gilpin,08047
27,216,"Denver-Aurora, CO",Jefferson,08059
28,216,"Denver-Aurora, CO",Park,08093
29,216,"Denver-Aurora, CO",Weld,08123
30,408,"New York-Newark, NY-NJ-CT-PA",Fairfield,09001
31,408,"New York-Newark, NY-NJ-CT-PA",Litchfield,09005
32,408,"New York-Newark, NY-NJ-CT-PA",New Haven,09009
33,408,"New York-Newark, NY-NJ-CT-PA",Bergen,34003
34,408,"New York-Newark, NY-NJ-CT-PA",Essex,34013
35,408,"New York-Newark, NY-NJ-CT-PA",Hudson,34017
36,408,"New York-Newark, NY-NJ-CT-PA",Hunterdon,34019
37,408,"New York-Newark, NY-NJ-CT-PA",Mercer,34021
38,408,"New York-Newark, NY-NJ-CT-PA",Middlesex,34023
39,408,"New York-Newark, NY-NJ-CT-PA",Monmouth,34025
40,408,"New York-Newark, NY-NJ-CT-PA",Morris,34027
41,408,"New York-Newark, NY-NJ-CT-PA",Ocean,34029
42,408,"New York-Newark, NY-NJ-CT-PA",Passaic,34031
43,408,"New York-Newark, NY-NJ-CT-PA",Somerset,34035
44,408,"New York-Newark, NY-NJ-CT-PA",Sussex,34037
45,408,"New York-Newark, NY-NJ-CT-PA",Union,34039
46,408,"New York-Newark, NY-NJ-CT-PA",Warren,34041
47,408,"New York-Newark, NY-NJ-CT-PA",Bronx,36005
48,408,"New York-Newark, NY-NJ-CT-PA",Dutchess,36027
49,408,"New York-Newark, NY-NJ-CT-PA",Kings,36047
50,408,"New York-Newark, NY-NJ-CT-PA",Nassau,36059
51,408,"New York-Newark, NY-NJ-CT-PA",New York,36061
52,408,"New York-Newark, NY-NJ-CT-PA",Orange,36071
53,408,"New York-Newark, NY-NJ-CT-PA",Putnam,36079
54,408,"New York-Newark, NY-NJ-CT-PA",Queens,36081
55,408,"New York-Newark, NY-NJ-CT-PA",Richmond,36085
56,408,"New York-Newark, NY-NJ-CT-PA",Rockland,36087
57,408,"New York-Newark, NY-NJ-CT-PA",Suffolk,36103
58,408,"New York-Newark, NY-NJ-CT-PA",Ulster,36111
59,408,"New York-Newark, NY-NJ-CT-PA",Westchester,36119
60,148,"Boston-Worcester-Providence, MA-RI-NH-CT",Windham,09015
61,148,"Boston-Worcester-Providence, MA-RI-NH-CT",Barnstable,25001
62,148,"Boston-Worcester-Providence, MA-RI-NH-CT",Bristol,25005
