GEOID,NAMELSAD,NAME,CSA,ALAND_mi
644000,"Los Angeles city, California",Los Angeles,348,468.65867
653000,"Oakland city, California",Oakland,488,55.89604
667000,"San Francisco city, California",San Francisco,488,46.90564
668000,"San Jose city, California",San Jose,488,177.5141
820000,"Denver city, Colorado",Denver,216,153.30483
1150000,"Washington city, District of Columbia",Washington,548,61.13988
1245000,"Miami city, Florida",Miami,370,35.98691
1304000,"Atlanta city, Georgia",Atlanta,122,133.43344
1714000,"Chicago city, Illinois",Chicago,176,227.3401
2507000,"Boston city, Massachusetts",Boston,148,48.34364
2622000,"Detroit city, Michigan",Detroit,220,138.7186
2743000,"Minneapolis city, Minnesota",Minneapolis,378,54.0008
2758000,"St. Paul city, Minnesota",St. Paul,378,51.9743
3651000,"New York city, New York",New York,408,300.36188
4260000,"Philadelphia city, Pennsylvania",Philadelphia,428,134.17818
4819000,"Dallas city, Texas",Dallas,206,339.95917
4827000,"Fort Worth city, Texas",Fort Worth,206,344.80336
4835000,"Houston city, Texas",Houston,288,636.51076
5363000,"Seattle city, Washington",Seattle,500,83.83377
