County_name,1-2units,+3units,CSA,CSA_name,STCO
Alameda,20968,53096,488,"San Jose-San Francisco-Oakland, CA",06001
Contra Costa,13544,2328,488,"San Jose-San Francisco-Oakland, CA",06013
Los Angeles,53576,119016,348,"Los Angeles-Long Beach, CA",06037
Marin,752,0,488,"San Jose-San Francisco-Oakland, CA",06041
Napa,840,624,488,"San Jose-San Francisco-Oakland, CA",06055
Orange,41312,34768,348,"Los Angeles-Long Beach, CA",06059
San Benito,4568,0,488,"San Jose-San Francisco-Oakland, CA",06069
San Francisco,536,31736,488,"San Jose-San Francisco-Oakland, CA",06075
San Joaquin,16872,5360,488,"San Jose-San Francisco-Oakland, CA",06077
San Mateo,3072,9584,488,"San Jose-San Francisco-Oakland, CA",06081
Santa Clara,16280,47464,488,"San Jose-San Francisco-Oakland, CA",06085
Santa Cruz,1776,1480,488,"San Jose-San Francisco-Oakland, CA",06087
Solano,6720,536,488,"San Jose-San Francisco-Oakland, CA",06095
Sonoma,6784,2640,488,"San Jose-San Francisco-Oakland, CA",06097
Adams,15336,5080,216,"Denver-Aurora, CO",08001
Arapahoe,18808,3160,216,"Denver-Aurora, CO",08005
Boulder,6512,6824,216,"Denver-Aurora, CO",08013
Broomfield,3184,144,216,"Denver-Aurora, CO",08014
Clear Creek,160,80,216,"Denver-Aurora, CO",08019
Denver,20480,63720,216,"Denver-Aurora, CO",08031
Douglas,19176,10760,216,"Denver-Aurora, CO",08035
Elbert,1304,0,216,"Denver-Aurora, CO",08039
Gilpin,272,0,216,"Denver-Aurora, CO",08047
Jefferson,9808,9176,216,"Denver-Aurora, CO",08059
Park,1200,32,216,"Denver-Aurora, CO",08093
Weld,22280,6888,216,"Denver-Aurora, CO",08123
Fairfield,6472,7280,408,"New York-Newark, NY-NJ-CT-PA",09001
Litchfield,1016,120,408,"New York-Newark, NY-NJ-CT-PA",09005
New Haven,3880,2120,408,"New York-Newark, NY-NJ-CT-PA",09009
Windham,1072,0,148,"Boston-Worcester-Providence, MA-RI-NH-CT",09015
Kent,9336,3096,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",10001
New Castle,10736,4216,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",10003
District of Columbia,3216,45080,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",11001
Broward,14208,26064,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12011
Indian River,8896,72,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12061
Martin,2632,368,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12085
Miami-Dade,19272,65160,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12086
Okeechobee,344,0,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12093
Palm Beach,21168,11912,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12099
St. Lucie,14784,512,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12111
Barrow,4376,1040,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13013
Bartow,4304,32,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13015
Butts,496,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13035
Carroll,2328,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13045
Cherokee,18272,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13057
Clarke,1512,1408,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13059
Clayton,3288,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13063
Cobb,12656,8376,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13067
Coweta,6760,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13077
Dawson,2480,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13085
DeKalb,14368,12664,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13089
Douglas,2832,208,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13097
Fayette,4720,32,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13113
Forsyth,20384,3472,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13117
Fulton,30176,42016,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13121
Gordon,1232,536,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13129
Gwinnett,28792,2544,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13135
Hall,9488,1416,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13139
Haralson,392,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13143
Heard,208,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13149
Henry,12568,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13151
Jackson,6928,640,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13157
Jasper,544,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13159
Lamar,312,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13171
Madison,72,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13195
Meriwether,360,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13199
Morgan,1000,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13211
