CSA,CSA_name,1-2units,+3units
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",224224,74696
148,"Boston-Worcester-Providence, MA-RI-NH-CT",82648,84632
176,"Chicago-Naperville, IL-IN-WI",57800,30440
206,"Dallas-Fort Worth, TX-OK",288744,222632
216,"Denver-Aurora, CO",118520,105864
220,"Detroit-Warren-Ann Arbor, MI",66448,27432
288,"Houston-The Woodlands, TX",296248,50048
348,"Los Angeles-Long Beach, CA",94888,153784
370,"Miami-Fort Lauderdale-Port St. Lucie, FL",81304,104088
378,"Minneapolis-St. Paul, MN-WI",78024,52392
408,"New York-Newark, NY-NJ-CT-PA",120744,315184
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",82200,57768
488,"San Jose-San Francisco-Oakland, CA",92712,154848
500,"Seattle-Tacoma, WA",110128,137968
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",182400,121144
