County_name,1-2units,+3units,CSA,CSA_name,STCO
Alameda,13298,19916,488,"San Jose-San Francisco-Oakland, CA",06001
Contra Costa,11794,4309,488,"San Jose-San Francisco-Oakland, CA",06013
Los Angeles,35396,90987,348,"Los Angeles-Long Beach, CA",06037
Marin,1103,1004,488,"San Jose-San Francisco-Oakland, CA",06041
Napa,1027,278,488,"San Jose-San Francisco-Oakland, CA",06055
Orange,27351,37734,348,"Los Angeles-Long Beach, CA",06059
San Benito,1610,5,488,"San Jose-San Francisco-Oakland, CA",06069
San Francisco,726,23931,488,"San Jose-San Francisco-Oakland, CA",06075
San Joaquin,10608,1751,488,"San Jose-San Francisco-Oakland, CA",06077
San Mateo,2910,6624,488,"San Jose-San Francisco-Oakland, CA",06081
Santa Clara,12195,37293,488,"San Jose-San Francisco-Oakland, CA",06085
Santa Cruz,1385,1034,488,"San Jose-San Francisco-Oakland, CA",06087
Solano,5224,874,488,"San Jose-San Francisco-Oakland, CA",06095
Sonoma,3842,2254,488,"San Jose-San Francisco-Oakland, CA",06097
Adams,9524,2483,216,"Denver-Aurora, CO",08001
Arapahoe,10901,8094,216,"Denver-Aurora, CO",08005
Boulder,4830,5544,216,"Denver-Aurora, CO",08013
Broomfield,2752,2844,216,"Denver-Aurora, CO",08014
Clear Creek,107,10,216,"Denver-Aurora, CO",08019
Denver,13139,34452,216,"Denver-Aurora, CO",08031
Douglas,14330,5807,216,"Denver-Aurora, CO",08035
Elbert,735,0,216,"Denver-Aurora, CO",08039
Gilpin,136,0,216,"Denver-Aurora, CO",08047
Jefferson,8059,5555,216,"Denver-Aurora, CO",08059
Park,793,4,216,"Denver-Aurora, CO",08093
Weld,14294,3183,216,"Denver-Aurora, CO",08123
Fairfield,6127,8484,408,"New York-Newark, NY-NJ-CT-PA",09001
Litchfield,1045,98,408,"New York-Newark, NY-NJ-CT-PA",09005
New Haven,3715,3446,408,"New York-Newark, NY-NJ-CT-PA",09009
Windham,905,66,148,"Boston-Worcester-Providence, MA-RI-NH-CT",09015
Kent,6808,1328,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",10001
New Castle,8016,3290,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",10003
District of Columbia,2711,29590,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",11001
Broward,10932,17759,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12011
Indian River,5180,138,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12061
Martin,2514,360,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12085
Miami-Dade,16677,44748,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12086
Okeechobee,317,0,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12093
Palm Beach,18488,15161,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12099
St. Lucie,6405,723,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12111
Barrow,2151,408,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13013
Bartow,2003,66,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13015
Butts,187,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13035
Carroll,1122,497,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13045
Cherokee,10859,1646,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13057
Clarke,1067,1709,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13059
Clayton,2202,12,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13063
Cobb,10606,8964,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13067
Coweta,5096,567,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13077
Dawson,1067,348,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13085
DeKalb,5799,6194,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13089
Douglas,1681,26,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13097
Fayette,2323,302,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13113
Forsyth,17586,2954,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13117
Fulton,18049,34934,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13121
