County_name,TotalHousing16,Owners16,renters16,STCO,CSA,CSA_name
Alameda,592796,296634,267659,06001,488,"San Jose-San Francisco-Oakland, CA"
Contra Costa,406803,250055,137485,06013,488,"San Jose-San Francisco-Oakland, CA"
Los Angeles,3490118,1499576,1782269,06037,348,"Los Angeles-Long Beach, CA"
Marin,112259,66200,38200,06041,488,"San Jose-San Francisco-Oakland, CA"
Napa,55301,30411,18964,06055,488,"San Jose-San Francisco-Oakland, CA"
Orange,1072121,581506,435506,06059,348,"Los Angeles-Long Beach, CA"
Riverside,820300,454924,250792,06065,348,"Los Angeles-Long Beach, CA"
San Benito,18139,10824,6566,06069,488,"San Jose-San Francisco-Oakland, CA"
San Bernardino,708442,365576,253346,06071,348,"Los Angeles-Long Beach, CA"
San Francisco,386755,131331,225466,06075,488,"San Jose-San Francisco-Oakland, CA"
San Joaquin,237752,123450,98257,06077,488,"San Jose-San Francisco-Oakland, CA"
San Mateo,273798,154344,106666,06081,488,"San Jose-San Francisco-Oakland, CA"
Santa Clara,651905,354255,272324,06085,488,"San Jose-San Francisco-Oakland, CA"
Santa Cruz,105255,54853,40209,06087,488,"San Jose-San Francisco-Oakland, CA"
Solano,155091,86083,59232,06095,488,"San Jose-San Francisco-Oakland, CA"
Sonoma,207058,112774,76269,06097,488,"San Jose-San Francisco-Oakland, CA"
Ventura,284759,170877,98461,06111,348,"Los Angeles-Long Beach, CA"
Adams,166058,102279,56469,08001,216,"Denver-Aurora, CO"
Arapahoe,242869,144154,87690,08005,216,"Denver-Aurora, CO"
Boulder,131042,76493,47176,08013,216,"Denver-Aurora, CO"
Broomfield,25543,16646,7935,08014,216,"Denver-Aurora, CO"
Clear Creek,5680,3440,971,08019,216,"Denver-Aurora, CO"
Denver,299338,138870,142202,08031,216,"Denver-Aurora, CO"
Douglas,118178,90730,23287,08035,216,"Denver-Aurora, CO"
Elbert,9135,7607,961,08039,216,"Denver-Aurora, CO"
Gilpin,3457,1945,563,08047,216,"Denver-Aurora, CO"
Jefferson,233838,158427,66893,08059,216,"Denver-Aurora, CO"
Park,14165,6140,1258,08093,216,"Denver-Aurora, CO"
Weld,100935,67652,28964,08123,216,"Denver-Aurora, CO"
Fairfield,364737,226707,108502,09001,408,"New York-Newark, NY-NJ-CT-PA"
Litchfield,87450,57013,17326,09005,408,"New York-Newark, NY-NJ-CT-PA"
New Haven,362497,203568,122919,09009,408,"New York-Newark, NY-NJ-CT-PA"
Windham,49165,30940,13321,09015,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Kent,68106,43088,19052,10001,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
New Castle,220459,139050,63474,10003,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
District of Columbia,306711,112672,163874,11001,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Broward,816886,422354,250634,12011,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Indian River,77498,43135,14694,12061,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Martin,78957,47589,15391,12085,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Miami-Dade,1004835,449174,404450,12086,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Okeechobee,18234,9104,3746,12093,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Palm Beach,674975,369536,169013,12099,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
St. Lucie,137649,78137,30659,12111,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
