STCO,Total_emp17
06001,772071
06013,366799
06041,115421
06055,76765
06069,16977
06075,716999
06077,248049
06081,400560
06085,1071733
06087,104396
06095,138088
06097,205487
06037,4394364
06059,1594892
08001,204944
08005,328122
08013,179832
08014,37870
08019,2998
08031,505971
08035,121134
08039,3560
08047,4878
08059,232912
08093,2481
08123,105224
09001,419998
09005,60508
09009,364067
34003,444011
34013,340791
34017,260798
34019,46970
34021,247439
34023,422570
34025,259085
34027,288451
34029,165809
34031,166323
34035,186925
34037,38364
34039,218976
34041,33477
36005,301096
36027,112143
36047,711896
36059,628387
36061,2460853
36071,142435
36079,26525
36081,662754
36085,115775
36087,123726
36103,657636
36111,60427
36119,425986
09015,38776
25001,97180
25005,226217
25009,324956
25017,900510
25021,351812
25023,192998
25025,672017
25027,346544
33001,25824
33011,201769
33013,76799
33015,148971
33017,48160
44001,13715
44003,75028
44005,40189
44007,285658
44009,52878
10001,66411
10003,287590
24015,31817
34001,123483
34005,204542
34007,203976
34009,41546
34011,58980
34015,107608
34033,20979
42011,171325
42017,263465
42029,249669
42045,222544
42091,492826
42101,672917
11001,763805
24003,270971
24005,374740
24009,24258
24013,58679
24017,41646
24019,10868
24021,100655
24025,93419
24027,170367
24031,469354
24033,319529
24035,14686
24037,43789
24041,19368
24043,66573
24510,340166
42055,58187
51013,176703
51043,3997
51047,15735
51059,601563
51061,22100
51069,31259
51107,164439
51153,127877
51157,1527
51177,35737
51179,42980
51187,12279
51510,93781
51600,19184
51610,12086
51630,24873
51683,22333
51685,3499
51840,25204
54003,33654
54027,3737
54037,15440
12011,797260
12061,51127
12085,66748
12086,1122440
12093,11774
12099,596712
12111,74443
13013,18416
13015,36699
13035,6333
13045,39938
13057,58718
13059,71204
13063,123123
13067,357101
13077,37781
13085,9033
13089,297496
13097,42124
13113,43626
13117,72767
13121,851319
13129,21466
13135,352242
13139,85501
13143,6536
13149,2076
13151,58450
13157,26385
13159,2216
13171,3536
13195,3079
13199,4819
13211,7047
13217,24386
13219,11347
13221,1658
13223,23472
13227,7680
13231,2849
13233,11052
13247,31805
13255,22627
13285,39608
13293,6497
13297,22747
17011,11893
17037,37638
17043,620122
17063,19168
17089,209751
17091,44939
17093,28489
17097,334907
17099,42895
17111,97667
17155,1845
17197,240331
18073,12051
18089,187600
18091,40247
18111,3253
18127,59097
55059,66392
26049,134078
26087,21243
26091,26987
26093,61087
26099,326869
26115,40600
26125,728381
26147,44611
26161,210160
26163,718512
27003,122310
27009,17482
27019,39083
27025,15435
27037,188272
27049,21587
27053,916118
27059,10819
27079,8860
27085,16307
27095,9630
27123,331651
27131,24898
27139,52926
27141,25591
27143,4409
27145,86731
27163,84659
27171,43280
55093,10029
55109,33508
40013,17568
48085,398416
48097,14138
48113,1684334
48121,239269
48139,49276
48181,45864
48213,16883
48221,15537
48223,12565
48231,29545
48251,46570
48257,31264
48349,16267
48363,8646
48367,32043
48397,29526
48425,3799
48439,873717
48497,19399
48015,10017
48039,107018
48071,13936
48157,178501
48167,109930
48201,2271610
48291,16970
48321,10807
48339,175874
48455,2302
48471,24534
48473,16271
48477,14679
48481,15576
53029,16369
53033,1355947
53035,87347
53041,25708
53045,14018
53053,302424
53057,50708
53061,283946
53067,113258
36105,26766
