County_name,1-2units_00,+3units_00,1-2units,+3units,CSA,CSA_name,STCO
Alameda,26210,66370,20968,53096,488,"San Jose-San Francisco-Oakland, CA",06001
Contra Costa,16930,2910,13544,2328,488,"San Jose-San Francisco-Oakland, CA",06013
Los Angeles,66970,148770,53576,119016,348,"Los Angeles-Long Beach, CA",06037
Marin,940,0,752,0,488,"San Jose-San Francisco-Oakland, CA",06041
Napa,1050,780,840,624,488,"San Jose-San Francisco-Oakland, CA",06055
Orange,51640,43460,41312,34768,348,"Los Angeles-Long Beach, CA",06059
San Benito,5710,0,4568,0,488,"San Jose-San Francisco-Oakland, CA",06069
San Francisco,670,39670,536,31736,488,"San Jose-San Francisco-Oakland, CA",06075
San Joaquin,21090,6700,16872,5360,488,"San Jose-San Francisco-Oakland, CA",06077
San Mateo,3840,11980,3072,9584,488,"San Jose-San Francisco-Oakland, CA",06081
Santa Clara,20350,59330,16280,47464,488,"San Jose-San Francisco-Oakland, CA",06085
Santa Cruz,2220,1850,1776,1480,488,"San Jose-San Francisco-Oakland, CA",06087
Solano,8400,670,6720,536,488,"San Jose-San Francisco-Oakland, CA",06095
Sonoma,8480,3300,6784,2640,488,"San Jose-San Francisco-Oakland, CA",06097
Adams,19170,6350,15336,5080,216,"Denver-Aurora, CO",08001
Arapahoe,23510,3950,18808,3160,216,"Denver-Aurora, CO",08005
Boulder,8140,8530,6512,6824,216,"Denver-Aurora, CO",08013
Broomfield,3980,180,3184,144,216,"Denver-Aurora, CO",08014
Clear Creek,200,100,160,80,216,"Denver-Aurora, CO",08019
Denver,25600,79650,20480,63720,216,"Denver-Aurora, CO",08031
Douglas,23970,13450,19176,10760,216,"Denver-Aurora, CO",08035
Elbert,1630,0,1304,0,216,"Denver-Aurora, CO",08039
Gilpin,340,0,272,0,216,"Denver-Aurora, CO",08047
Jefferson,12260,11470,9808,9176,216,"Denver-Aurora, CO",08059
Park,1500,40,1200,32,216,"Denver-Aurora, CO",08093
Weld,27850,8610,22280,6888,216,"Denver-Aurora, CO",08123
Fairfield,8090,9100,6472,7280,408,"New York-Newark, NY-NJ-CT-PA",09001
Litchfield,1270,150,1016,120,408,"New York-Newark, NY-NJ-CT-PA",09005
New Haven,4850,2650,3880,2120,408,"New York-Newark, NY-NJ-CT-PA",09009
Windham,1340,0,1072,0,148,"Boston-Worcester-Providence, MA-RI-NH-CT",09015
Kent,11670,3870,9336,3096,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",10001
New Castle,13420,5270,10736,4216,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",10003
District of Columbia,4020,56350,3216,45080,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",11001
