County_name,TotalHousing16,Owners16,renters16,Name,STCO,CSA,CSA_name
Alameda,592796,296634,267659,"Alameda County, California",06001,488,"San Jose-San Francisco-Oakland, CA"
Contra Costa,406803,250055,137485,"Contra Costa County, California",06013,488,"San Jose-San Francisco-Oakland, CA"
Los Angeles,3490118,1499576,1782269,"Los Angeles County, California",06037,348,"Los Angeles-Long Beach, CA"
Marin,112259,66200,38200,"Marin County, California",06041,488,"San Jose-San Francisco-Oakland, CA"
Napa,55301,30411,18964,"Napa County, California",06055,488,"San Jose-San Francisco-Oakland, CA"
Orange,1072121,581506,435506,"Orange County, California",06059,348,"Los Angeles-Long Beach, CA"
San Benito,18139,10824,6566,"San Benito County, California",06069,488,"San Jose-San Francisco-Oakland, CA"
San Francisco,386755,131331,225466,"San Francisco County, California",06075,488,"San Jose-San Francisco-Oakland, CA"
San Joaquin,237752,123450,98257,"San Joaquin County, California",06077,488,"San Jose-San Francisco-Oakland, CA"
San Mateo,273798,154344,106666,"San Mateo County, California",06081,488,"San Jose-San Francisco-Oakland, CA"
Santa Clara,651905,354255,272324,"Santa Clara County, California",06085,488,"San Jose-San Francisco-Oakland, CA"
Santa Cruz,105255,54853,40209,"Santa Cruz County, California",06087,488,"San Jose-San Francisco-Oakland, CA"
Solano,155091,86083,59232,"Solano County, California",06095,488,"San Jose-San Francisco-Oakland, CA"
Sonoma,207058,112774,76269,"Sonoma County, California",06097,488,"San Jose-San Francisco-Oakland, CA"
Adams,166058,102279,56469,"Adams County, Colorado",08001,216,"Denver-Aurora, CO"
Arapahoe,242869,144154,87690,"Arapahoe County, Colorado",08005,216,"Denver-Aurora, CO"
Boulder,131042,76493,47176,"Boulder County, Colorado",08013,216,"Denver-Aurora, CO"
Broomfield,25543,16646,7935,"Broomfield County, Colorado",08014,216,"Denver-Aurora, CO"
Clear Creek,5680,3440,971,"Clear Creek County, Colorado",08019,216,"Denver-Aurora, CO"
Denver,299338,138870,142202,"Denver County, Colorado",08031,216,"Denver-Aurora, CO"
Douglas,118178,90730,23287,"Douglas County, Colorado",08035,216,"Denver-Aurora, CO"
Elbert,9135,7607,961,"Elbert County, Colorado",08039,216,"Denver-Aurora, CO"
Gilpin,3457,1945,563,"Gilpin County, Colorado",08047,216,"Denver-Aurora, CO"
Jefferson,233838,158427,66893,"Jefferson County, Colorado",08059,216,"Denver-Aurora, CO"
Park,14165,6140,1258,"Park County, Colorado",08093,216,"Denver-Aurora, CO"
Weld,100935,67652,28964,"Weld County, Colorado",08123,216,"Denver-Aurora, CO"
Fairfield,364737,226707,108502,"Fairfield County, Connecticut",09001,408,"New York-Newark, NY-NJ-CT-PA"
Litchfield,87450,57013,17326,"Litchfield County, Connecticut",09005,408,"New York-Newark, NY-NJ-CT-PA"
New Haven,362497,203568,122919,"New Haven County, Connecticut",09009,408,"New York-Newark, NY-NJ-CT-PA"
Windham,49165,30940,13321,"Windham County, Connecticut",09015,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Kent,68106,43088,19052,"Kent County, Delaware",10001,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
New Castle,220459,139050,63474,"New Castle County, Delaware",10003,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
