,GEOID,NAMELSAD,NAME,CSA,ALAND_mi,STPL,LaborForce00,PrimeAge00,Over65_00,55-64_00,Under25_00,LaborForce,PrimeAge,Over65,55-64,Under25,over65_%_16,over65_%_00,over65_%change,NET_LaborTotal,%_LaborTotal,NET_PrimeAge,%_PrimeAge,NET_Over65,%_Over65,NET_55-64,%_55-64,NET_Under25,%_Under25
0,644000,"Los Angeles city, California",Los Angeles,348,468.65867000000003,644000,1690316,1214480,55796,144477,275563,2097465,1458028,91567,276371,271499,0.04365603240101742,0.033009212478613464,0.010646819922403954,407149,0.24087152934717532,243548,0.20053685527962584,407149,0.6411033048964083,131894,0.9129065526000678,-4064,-0.014747988663209501
1,653000,"Oakland city, California",Oakland,488,55.89604,653000,190725,141902,5270,16817,26736,227765,162520,9832,30508,24905,0.04316729962900358,0.02763140647529165,0.015535893153711927,37040,0.19420631799711627,20618,0.145297458809601,37040,0.8656546489563567,13691,0.8141166676577273,-1831,-0.06848444045481747
2,667000,"San Francisco city, California",San Francisco,488,46.905640000000005,667000,448669,345232,13904,38633,50900,521164,387743,21168,68478,43775,0.04061677322301617,0.030989437647798265,0.009627335575217905,72495,0.16157791155618062,42511,0.12313748435834454,72495,0.522439585730725,29845,0.7725260787409728,-7125,-0.13998035363457761
3,668000,"San Jose city, California",San Jose,488,177.5141,668000,456641,338383,10119,41308,66831,540251,378491,20063,76970,64727,0.037136442135229736,0.02215963962938063,0.014976802505849107,83610,0.18309788214374093,40108,0.11852841307039656,83610,0.9827058009684752,35662,0.8633194538588167,-2104,-0.03148239589412099
4,820000,"Denver city, Colorado",Denver,216,153.30483,820000,301714,219052,9973,23958,48731,381214,278291,14587,44263,44073,0.03826459678815573,0.03305448205916862,0.0052101147289871155,79500,0.26349456770318913,59239,0.2704335043733908,79500,0.46264915271232326,20305,0.8475248351281409,-4658,-0.09558597196856211
5,1150000,"Washington city, District of Columbia",Washington,548,61.139880000000005,1150000,298225,206426,10559,29125,52115,385056,275457,17420,43591,48588,0.0452401728579739,0.03540615307234471,0.009834019785629193,86831,0.2911593595439685,69031,0.3344103940395105,86831,0.6497774410455536,14466,0.49668669527896997,-3527,-0.06767725223064378
6,1245000,"Miami city, Florida",Miami,370,35.986909999999995,1245000,147356,101253,7758,17988,20357,223022,160238,10088,29820,22876,0.04523320569271193,0.05264800890360759,-0.00741480321089566,75666,0.5134911371101278,58985,0.5825506404748502,75666,0.3003351379221449,11832,0.6577718478985991,2519,0.12374121923662622
7,1304000,"Atlanta city, Georgia",Atlanta,122,133.43344,1304000,213257,148279,6304,16086,42588,245873,175746,7275,24864,37988,0.02958844606768535,0.02956057714400934,2.7868923676011015e-05,32616,0.1529422246397539,27467,0.18523863797301035,32616,0.15402918781725888,8778,0.5456919060052219,-4600,-0.10801164647318494
8,1714000,"Chicago city, Illinois",Chicago,176,227.3401,1714000,1358054,967050,36342,115719,238943,1449953,1031880,47450,173898,196725,0.03272519867885373,0.026760349735724793,0.005964848943128934,91899,0.06766962138471666,64830,0.06703893283697844,91899,0.30565186285840074,58179,0.5027609986259819,-42218,-0.176686490083409
9,2507000,"Boston city, Massachusetts",Boston,148,48.34364,2507000,308395,212308,6721,22434,66932,385571,260577,12963,43502,68529,0.03362026708440209,0.021793479142009436,0.011826787942392655,77176,0.25025049044245207,48269,0.2273536560091942,77176,0.9287308436244607,21068,0.9391102790407417,1597,0.023860037052530928
10,2622000,"Detroit city, Michigan",Detroit,220,138.7186,2622000,384897,276490,10143,28878,69386,284185,183048,9077,36833,55227,0.03194046131921108,0.026352504696061544,0.0055879566231495335,-100712,-0.2616596128314848,-93442,-0.3379579731635864,-100712,-0.10509711130829143,7955,0.2754692153196205,-14159,-0.20406133802207937
11,2743000,"Minneapolis city, Minnesota",Minneapolis,378,54.0008,2743000,220790,156335,4692,14292,45471,245429,165735,7873,27803,44018,0.03207852372783982,0.02125096245300965,0.010827561274830172,24639,0.11159472802210245,9400,0.060127290753829915,24639,0.6779624893435635,13511,0.9453540442205429,-1453,-0.031954432495436655
12,2758000,"St. Paul city, Minnesota",St. Paul,378,51.9743,2758000,150228,105236,3619,10687,30686,162196,106027,5087,21183,29899,0.03136328886039113,0.02409004979098437,0.007273239069406759,11968,0.07966557499267779,791,0.0075164392413242615,11968,0.40563691627521414,10496,0.9821278188453261,-787,-0.025646874796324055
13,3651000,"New York city, New York",New York,408,300.36188,3651000,3626865,2647357,112845,359401,507262,4369307,3086622,188689,617792,476204,0.04318510921754869,0.03111364773709526,0.012071461480453426,742442,0.20470626836124312,439265,0.1659258649286817,742442,0.6721077584297045,258391,0.7189490290789396,-31058,-0.061226742787750706
14,4260000,"Philadelphia city, Pennsylvania",Philadelphia,428,134.17818,4260000,656935,454183,22921,62510,117321,748923,511674,28509,98970,109770,0.03806666372911501,0.03489081872635801,0.0031758450027569995,91988,0.14002602997252392,57491,0.12658113579768507,91988,0.24379390078966887,36460,0.583266677331627,-7551,-0.064361878947503
15,4819000,"Dallas city, Texas",Dallas,206,339.95917000000003,4819000,588623,418663,18109,45842,106009,667343,458998,27194,82357,98794,0.040749659470467214,0.030765022773489994,0.00998463669697722,78720,0.13373585469816843,40335,0.09634240427264888,78720,0.5016842454028384,36515,0.7965402905632389,-7215,-0.06806025903461027
16,4827000,"Fort Worth city, Texas",Fort Worth,206,344.80336,4827000,256942,181018,7026,20766,48132,405510,280529,14380,49288,61313,0.035461517595127126,0.027344692576534782,0.008116825018592344,148568,0.5782160954612325,99511,0.5497298611187837,148568,1.0466837460859664,28522,1.3734951362804584,13181,0.27385107620709714
17,4835000,"Houston city, Texas",Houston,288,636.51076,4835000,931236,667692,25874,79565,158105,1179892,810185,48510,154636,166561,0.041113932461615134,0.027784578774875543,0.013329353686739591,248656,0.2670171685802525,142493,0.21341127346141633,248656,0.8748550668624875,75071,0.9435178784641488,8456,0.053483444546345786
18,5363000,"Seattle city, Washington",Seattle,500,83.83377,5363000,339956,252998,8517,25992,52449,418119,296422,16793,52982,51922,0.04016320712524425,0.025053242184282672,0.01510996494096158,78163,0.2299209309440045,43424,0.1716377204562882,78163,0.9717036515204884,26990,1.0383964296706678,-527,-0.010047856012507388
