STCO,own_code,Industry,Total_emp17
06065,5,office,94488
06071,5,office,105564
06111,5,office,58485
17031,5,office,720135
06001,5,office,177306
06013,5,office,89620
06041,5,office,25937
06055,5,office,9596
06069,5,office,1632
06075,5,office,287534
06077,5,office,28533
06081,5,office,138467
06085,5,office,345084
06087,5,office,14290
06095,5,office,16459
06097,5,office,32638
06037,5,office,1025540
06059,5,office,442914
08001,5,office,31879
08005,5,office,121123
08013,5,office,49309
08014,5,office,15561
08019,5,office,170
08031,5,office,153804
08035,5,office,38465
08039,5,office,565
08047,5,office,68
08059,5,office,53794
08093,5,office,324
08123,5,office,15141
09001,5,office,118429
09005,5,office,6878
09009,5,office,61202
34003,5,office,103899
34013,5,office,72358
34017,5,office,84398
34019,5,office,10686
34021,5,office,61476
34023,5,office,118697
34025,5,office,52416
34027,5,office,96843
34029,5,office,21979
34031,5,office,27668
34035,5,office,66602
34037,5,office,5305
34039,5,office,44560
34041,5,office,4675
36005,5,office,30849
36027,5,office,14978
36047,5,office,100986
36059,5,office,129922
36061,5,office,1115940
36071,5,office,20270
36079,5,office,3461
36081,5,office,93033
36085,5,office,12819
36087,5,office,21450
36103,5,office,124050
36111,5,office,7350
36119,5,office,94114
09015,5,office,3476
25001,5,office,13541
25005,5,office,29847
25009,5,office,56866
25017,5,office,289417
25021,5,office,93537
25023,5,office,30078
25025,5,office,226908
25027,5,office,56730
33001,5,office,3115
33011,5,office,45786
33013,5,office,12068
33015,5,office,32461
33017,5,office,8834
44001,5,office,1717
44003,5,office,15408
44005,5,office,7062
44007,5,office,69969
44009,5,office,6423
10001,5,office,6819
10003,5,office,92285
24015,5,office,2138
34001,5,office,13771
34005,5,office,53315
34007,5,office,40462
34009,5,office,4383
34011,5,office,5210
34015,5,office,12498
34033,5,office,2070
42011,5,office,29021
42017,5,office,48340
42029,5,office,76154
42045,5,office,48489
42091,5,office,156495
42101,5,office,140249
11001,5,office,210485
24003,5,office,56957
24005,5,office,95119
24009,5,office,2708
24013,5,office,8805
24017,5,office,4275
24019,5,office,815
24021,5,office,20954
24025,5,office,15549
24027,5,office,60092
24031,5,office,144900
24033,5,office,56037
24035,5,office,1512
24037,5,office,10905
24041,5,office,4028
24043,5,office,12084
24510,5,office,66991
42055,5,office,7033
51013,5,office,69185
51043,5,office,567
51047,5,office,2061
51059,5,office,270727
51061,5,office,3321
51069,5,office,5204
51107,5,office,43724
51153,5,office,21748
51157,5,office,298
51177,5,office,5247
51179,5,office,10990
51187,5,office,1661
51510,5,office,29410
51600,5,office,5890
51610,5,office,3276
51630,5,office,4078
51683,5,office,5613
51685,5,office,564
51840,5,office,4003
54003,5,office,5062
54027,5,office,353
54037,5,office,1628
12011,5,office,210481
12061,5,office,8247
12085,5,office,11888
12086,5,office,250455
12093,5,office,1432
12099,5,office,152970
12111,5,office,10862
13013,5,office,1844
13015,5,office,3892
13035,5,office,424
13045,5,office,5369
13057,5,office,8691
13059,5,office,9271
13063,5,office,17195
13067,5,office,110047
13077,5,office,5116
13085,5,office,669
13089,5,office,72551
13097,5,office,6856
13113,5,office,5485
13117,5,office,16332
13121,5,office,326769
13129,5,office,2375
13135,5,office,99905
13139,5,office,11430
13143,5,office,452
13149,5,office,103
13151,5,office,9361
13157,5,office,4548
13159,5,office,153
13171,5,office,220
13195,5,office,295
13199,5,office,202
13211,5,office,896
13217,5,office,3920
13219,5,office,2785
13221,5,office,143
13223,5,office,2672
13227,5,office,947
13231,5,office,326
13233,5,office,831
13247,5,office,5040
13255,5,office,3784
13285,5,office,8200
13293,5,office,571
13297,5,office,2568
17011,5,office,725
17037,5,office,4554
17043,5,office,188789
17063,5,office,1738
17089,5,office,43091
17091,5,office,6571
17093,5,office,3140
17097,5,office,81068
17099,5,office,5324
17111,5,office,15426
17155,5,office,151
17197,5,office,37593
18073,5,office,909
18089,5,office,24039
18091,5,office,3986
18111,5,office,305
18127,5,office,6631
55059,5,office,9350
26049,5,office,22937
26087,5,office,2435
26091,5,office,2578
26093,5,office,10429
26099,5,office,63047
26115,5,office,5863
26125,5,office,252284
26147,5,office,3904
26161,5,office,37872
26163,5,office,159487
27003,5,office,14151
27009,5,office,2296
27019,5,office,5716
27025,5,office,1477
27037,5,office,39570
27049,5,office,1793
27053,5,office,302178
27059,5,office,1002
27079,5,office,530
27085,5,office,1220
27095,5,office,803
27123,5,office,78612
27131,5,office,1785
27139,5,office,5068
27141,5,office,2379
27143,5,office,356
27145,5,office,12682
27163,5,office,12994
27171,5,office,3508
55093,5,office,685
55109,5,office,3803
40013,5,office,1535
48085,5,office,127644
48097,5,office,1250
48113,5,office,554515
48121,5,office,47860
48139,5,office,5174
48181,5,office,6120
48213,5,office,1804
48221,5,office,1911
48223,5,office,1567
48231,5,office,2453
48251,5,office,4373
48257,5,office,2924
48349,5,office,1636
48363,5,office,628
48367,5,office,3694
48397,5,office,4121
48425,5,office,326
48439,5,office,162423
48497,5,office,1624
48015,5,office,1210
48039,5,office,12809
48071,5,office,1527
48157,5,office,28712
48167,5,office,15931
48201,5,office,544852
48291,5,office,1381
48321,5,office,1178
48339,5,office,34434
48455,5,office,0
48471,5,office,1615
48473,5,office,1173
48477,5,office,1762
48481,5,office,1104
53029,5,office,2050
53033,5,office,393938
53035,5,office,10671
53041,5,office,2174
53045,5,office,950
53053,5,office,46183
53057,5,office,5530
53061,5,office,46195
53067,5,office,14503
36105,5,office,2616
