CSA,CSA_name,pop2000,hu2000,pop2010,hu2010,1-2units_00,+3units_00,1-2units,+3units
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",4778990,1853158,5910296,2426656,474506,132773,136174,63364
148,"Boston-Worcester-Providence, MA-RI-NH-CT",7630016,3135867,7893376,3380251,162346,62540,71045,57752
176,"Chicago-Naperville, IL-IN-WI",4088612,1516964,4646254,1779354,235555,32241,45693,14690
206,"Dallas-Fort Worth, TX-OK",5565005,2180002,6817483,2708233,362296,116678,189949,150573
216,"Denver-Aurora, CO",2629980,1068646,3034985,1279543,162073,62325,76848,65132
220,"Detroit-Warren-Ann Arbor, MI",5456428,2208124,5318744,2332713,145283,29291,45326,12381
288,"Houston-The Woodlands, TX",4878216,1865805,6114562,2379231,382359,122838,258944,105905
348,"Los Angeles-Long Beach, CA",12365627,4240393,12828837,4493983,132468,131199,62747,128721
370,"Miami-Fort Lauderdale-Port St. Lucie, FL",5475847,2379888,6166766,2774432,232938,148598,60513,78889
378,"Minneapolis-St. Paul, MN-WI",3335000,1312902,3684928,1525385,162048,48922,55957,38144
408,"New York-Newark, NY-NJ-CT-PA",21491898,8341615,22214519,8876758,295059,293664,105348,268015
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",6688798,2740528,7067807,2944566,183854,46839,68738,40563
488,"San Jose-San Francisco-Oakland, CA",7656194,2856934,8153696,3142049,166541,97252,65722,99273
500,"Seattle-Tacoma, WA",3775744,1564957,4274767,1837119,182349,79445,88733,92982
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",7981257,3204298,9051961,3670613,345814,110288,152567,106168
