,Total_emp00,Total_emp08,Total_emp17,emp_NET00-08,emp_%00-08,emp_NET08-17,emp_%08-17
06001,697215,683099,772071,-14116,-0.020246265499164532,88972,0.13024759222308918
06013,337924,339547,366799,1623,0.004802855079840437,27252,0.0802598756578618
06037,4110915,4168699,4394364,57784,0.014056238088114204,225665,0.05413319599232278
06041,112454,109340,115421,-3114,-0.0276913226741601,6081,0.05561551124931407
06055,60552,68850,76765,8298,0.13703923900118906,7915,0.114960058097313
06059,1394604,1482773,1594892,88169,0.06322153098657397,112119,0.07561440625099054
06069,15175,15642,16977,467,0.030774299835255352,1335,0.08534714230916762
06075,611676,573011,716999,-38665,-0.06321156952373479,143988,0.25128313418067016
06077,200996,220827,248049,19831,0.09866365499810942,27222,0.12327296933798856
06081,380137,342361,400560,-37776,-0.09937469912163246,58199,0.16999307748254036
06085,1036582,906502,1071733,-130080,-0.12548934864776737,165231,0.18227317755504124
06087,101884,97409,104396,-4475,-0.04392250009815084,6987,0.07172848504758288
06095,117281,126324,138088,9043,0.07710541349408685,11764,0.09312561350178905
06097,191453,190574,205487,-879,-0.004591205152178341,14913,0.07825306705006979
08001,144502,155118,204944,10616,0.0734661111956928,49826,0.3212135277659588
08005,283927,282659,328122,-1268,-0.004465936666819288,45463,0.16084044732345334
08013,179599,162252,179832,-17347,-0.09658739747994143,17580,0.10834997411434065
08019,2902,3418,2998,516,0.17780840799448655,-420,-0.12287887653598596
08031,468995,449264,505971,-19731,-0.04207081098945618,56707,0.12622199864667547
08035,56656,93704,121134,37048,0.6539113244846089,27430,0.2927302996670366
08039,3030,3405,3560,375,0.12376237623762376,155,0.04552129221732746
08047,5457,4759,4878,-698,-0.12790910756826096,119,0.02500525320445472
08059,210315,211502,232912,1187,0.005643915079761311,21410,0.10122835717865553
08093,2051,2404,2481,353,0.1721111652852267,77,0.032029950083194675
08123,69319,83491,105224,14172,0.20444611145573363,21733,0.26030350576708866
09001,428461,419353,419998,-9108,-0.021257477343328796,645,0.0015380836669822322
09005,66011,63207,60508,-2804,-0.0424777688567057,-2699,-0.042700966665084564
09009,366580,364373,364067,-2207,-0.006020513939658465,-306,-0.0008397987776262237
09015,38168,39142,38776,974,0.025518759169985326,-366,-0.009350569720504829
10001,50129,62659,66411,12530,0.2499551158012328,3752,0.05987966612936689
10003,284283,281652,287590,-2631,-0.009254862232352973,5938,0.021082754604973514
11001,636179,685069,763805,48890,0.07684944017328456,78736,0.1149314886529678
12011,642691,736490,797260,93799,0.14594727481791406,60770,0.08251300085540876
12061,41704,49098,51127,7394,0.17729714176098216,2029,0.04132551224082447
12085,50920,57358,66748,6438,0.12643362136684996,9390,0.16370863698176366
12086,978174,1006416,1122440,28242,0.028872163848149716,116024,0.1152843357021351
12093,9792,10407,11774,615,0.0628063725490196,1367,0.13135389641587394
12099,480400,530703,596712,50303,0.10471065778517902,66009,0.12438030310738775
12111,51134,69934,74443,18800,0.3676614385731607,4509,0.06447507650070065
13013,11646,15607,18416,3961,0.34011677829297615,2809,0.17998334080861153
13015,30542,34388,36699,3846,0.12592495579857246,2311,0.06720367570082587
13035,5323,5733,6333,410,0.07702423445425512,600,0.10465724751439037
13045,31811,38042,39938,6231,0.19587564050171324,1896,0.04983965091214973
13057,33489,46963,58718,13474,0.4023410672161008,11755,0.2503034303600707
13059,61525,67684,71204,6159,0.10010564811052418,3520,0.052006382601501096
13063,117130,112556,123123,-4574,-0.03905062750789721,10567,0.09388215643768436
13067,303343,316321,357101,12978,0.0427832519623001,40780,0.1289196733697731
13077,27006,32376,37781,5370,0.1988447011775161,5405,0.1669446503582901
13085,4193,7659,9033,3466,0.8266157882184594,1374,0.17939678809244028
13089,313584,296746,297496,-16838,-0.053695341599061176,750,0.002527414017375129
13097,30777,41348,42124,10571,0.3434707736296585,776,0.01876753410080294
13113,32965,39817,43626,6852,0.20785681783709994,3809,0.09566265665419293
13117,34019,58331,72767,24312,0.7146594550104354,14436,0.24748418508168898
13121,759387,741081,851319,-18306,-0.024106285727830475,110238,0.1487529703230821
13129,21475,20953,21466,-522,-0.02430733410942957,513,0.02448336753686823
13135,283386,317292,352242,33906,0.11964599521500709,34950,0.11015090200824477
13139,64694,74256,85501,9562,0.14780350573468945,11245,0.15143557422969187
13143,6267,7900,6536,1633,0.26057124621030797,-1364,-0.17265822784810125
13149,2493,2962,2076,469,0.18812675491375852,-886,-0.29912221471978395
13151,31474,49520,58450,18046,0.5733621401791955,8930,0.18033117932148626
13157,15175,18375,26385,3200,0.21087314662273476,8010,0.4359183673469388
13159,2591,2341,2216,-250,-0.09648784253184099,-125,-0.05339598462195643
13171,3708,3743,3536,35,0.009439050701186624,-207,-0.05530323270104195
13195,3586,3513,3079,-73,-0.020356943669827106,-434,-0.12354113293481354
13199,6029,4714,4819,-1315,-0.2181124564604412,105,0.022274077216801018
13211,5809,6314,7047,505,0.08693406782578757,733,0.11609122584732341
13217,17600,21441,24386,3841,0.21823863636363636,2945,0.137353668205774
13219,6417,9099,11347,2682,0.4179523141654979,2248,0.2470601164963183
13221,1697,1794,1658,97,0.057159693576900414,-136,-0.0758082497212932
13223,11996,19807,23472,7811,0.651133711237079,3665,0.18503559347705356
13227,5443,7861,7680,2418,0.4442403086533162,-181,-0.02302506042488233
13231,1831,2354,2849,523,0.2856362643364282,495,0.2102803738317757
13233,10304,11880,11052,1576,0.1529503105590062,-828,-0.0696969696969697
13247,33830,30637,31805,-3193,-0.0943836831214898,1168,0.03812383719032542
13255,22807,22259,22627,-548,-0.02402771079054676,368,0.016532638483310123
13285,34637,30537,39608,-4100,-0.11837052862545833,9071,0.2970494809575269
13293,9691,7554,6497,-2137,-0.22051387885667115,-1057,-0.1399258670902833
13297,13668,19403,22747,5735,0.41959321041849573,3344,0.1723444828119363
17011,11924,12561,11893,637,0.05342167058034217,-668,-0.05318047926120532
17037,33108,37783,37638,4675,0.14120454270871088,-145,-0.0038377047878675593
17043,582131,591695,620122,9564,0.01642929168864053,28427,0.048043333136159674
17063,14493,16252,19168,1759,0.12136893672807562,2916,0.17942407088358356
17089,192864,207321,209751,14457,0.07495955699352912,2430,0.011720954461921368
17091,42801,43390,44939,589,0.013761360715871125,1549,0.03569946992394561
17093,15669,24226,28489,8557,0.5461101538068798,4263,0.17596796829852224
17097,310413,332890,334907,22477,0.07240998282932738,2017,0.006059058547868665
17099,44492,44162,42895,-330,-0.007417063741796278,-1267,-0.02868982383044246
17111,87149,102380,97667,15231,0.17476964738551218,-4713,-0.04603438171517875
17155,2132,2258,1845,126,0.05909943714821764,-413,-0.18290522586359612
17197,142088,196008,240331,53920,0.3794831372107426,44323,0.2261285253663116
18073,10877,12268,12051,1391,0.12788452698354325,-217,-0.01768829475057059
18089,199240,194203,187600,-5037,-0.025281068058622767,-6603,-0.03400050462660206
