STCO,Name,TotalPop00,TotalHousing00,TotalPOP17,TotalHousing17,Total_emp00,Total_emp17
06001,"Alameda County, California",1443741,540183,1663190,606052,94458,772071
06013,"Contra Costa County, California",948816,354577,1147439,414007,54606,366799
06037,"Los Angeles County, California",9519338,3270909,10163507,3542636,134446,4394364
06041,"Marin County, California",247289,104990,260955,113126,7975,115421
06055,"Napa County, California",124279,48554,140973,55847,8109,76765
06059,"Orange County, California",2846289,969484,3190400,1102116,258376,1594892
06069,"San Benito County, California",53234,16499,60310,18876,3002,16977
06075,"San Francisco County, California",776733,346527,884363,397550,82692,716999
06077,"San Joaquin County, California",563598,189160,745424,242814,41882,248049
06081,"San Mateo County, California",707161,260576,771410,278074,90085,400560
06085,"Santa Clara County, California",1682585,579329,1938153,671125,150821,1071733
06087,"Santa Cruz County, California",255602,98873,275897,106318,19236,104396
06095,"Solano County, California",394542,134513,445458,157919,16566,138088
06097,"Sonoma County, California",458614,183153,504217,209326,19476,205487
08001,"Adams County, Colorado",363857,132594,503167,173120,17892,204944
08005,"Arapahoe County, Colorado",487967,196835,643052,251714,22258,328122
08013,"Boulder County, Colorado",291288,119900,322514,135920,156823,179832
08019,"Clear Creek County, Colorado",9322,5128,9574,5785,103,2998
08031,"Denver County, Colorado",554636,251435,704621,320545,346523,505971
08035,"Douglas County, Colorado",175766,63333,335299,124466,206,121134
08039,"Elbert County, Colorado",19872,7113,25642,9623,41,3560
08047,"Gilpin County, Colorado",4757,2929,6013,3664,5022,4878
08059,"Jefferson County, Colorado",527056,212488,574613,241089,210315,232912
08093,"Park County, Colorado",14523,10697,17905,14562,0,2481
08123,"Weld County, Colorado",180936,66194,304633,109869,2115,105224
09001,"Fairfield County, Connecticut",882567,339466,949921,372981,6268,419998
09005,"Litchfield County, Connecticut",182193,79267,182177,88285,1314,60508
09009,"New Haven County, Connecticut",824008,340732,860435,367195,11564,364067
09015,"Windham County, Connecticut",109091,43959,116359,49742,2079,38776
10001,"Kent County, Delaware",126697,50481,176824,71620,6934,66411
10003,"New Castle County, Delaware",500265,199521,559793,223250,12593,287590
11001,"District of Columbia, District of Columbia",572059,274845,693972,314805,32018,763805
12011,"Broward County, Florida",1623018,741043,1935878,823602,70067,797260
12061,"Indian River County, Florida",112947,57902,154383,80024,912,51127
12085,"Martin County, Florida",126731,65471,159923,80146,10581,66748
12086,"Miami-Dade County, Florida",2253362,852278,2751796,1024211,257846,1122440
12093,"Okeechobee County, Florida",35910,15504,41605,18686,2160,11774
12099,"Palm Beach County, Florida",1131184,556428,1471150,687038,90714,596712
12111,"St. Lucie County, Florida",192695,91262,313506,141028,11108,74443
13013,"Barrow County, Georgia",46144,17304,79061,28271,780,18416
13015,"Bartow County, Georgia",76019,28751,105054,41045,2543,36699
13035,"Butts County, Georgia",19522,7380,24059,9398,118,6333
13045,"Carroll County, Georgia",87268,34067,117812,45356,26340,39938
13057,"Cherokee County, Georgia",141903,51937,247573,92057,33489,58718
13059,"Clarke County, Georgia",101489,42126,127064,52894,61525,71204
13063,"Clayton County, Georgia",236517,86461,285153,105606,7437,123123
13067,"Cobb County, Georgia",607751,237522,755754,300545,77440,357101
13077,"Coweta County, Georgia",89215,33182,143114,54623,469,37781
13085,"Dawson County, Georgia",15999,7163,24379,11476,0,9033
13089,"DeKalb County, Georgia",665865,261231,753253,311226,11925,297496
13097,"Douglas County, Georgia",92174,34825,143882,52695,5173,42124
13113,"Fayette County, Georgia",91263,32726,112549,42503,102,43626
13117,"Forsyth County, Georgia",98407,36505,227967,81271,176,72767
13121,"Fulton County, Georgia",816006,348632,1041423,473166,40153,851319
13129,"Gordon County, Georgia",44104,17145,57089,22496,19246,21466
13135,"Gwinnett County, Georgia",588448,209682,920260,309255,34054,352242
13139,"Hall County, Georgia",139277,51046,199335,73080,19474,85501
13143,"Haralson County, Georgia",25690,10719,29256,12449,6267,6536
13149,"Heard County, Georgia",11012,4512,11730,5205,225,2076
13151,"Henry County, Georgia",119341,43166,225813,81354,20007,58450
13157,"Jackson County, Georgia",41589,16226,67519,25351,179,26385
13159,"Jasper County, Georgia",11426,4806,13964,6443,44,2216
13171,"Lamar County, Georgia",15912,6145,18599,7602,235,3536
13195,"Madison County, Georgia",25730,10520,29302,12004,1196,3079
13199,"Meriwether County, Georgia",22534,9211,21049,10005,144,4819
13211,"Morgan County, Georgia",15457,6128,18412,7737,181,7047
13217,"Newton County, Georgia",62001,23033,108078,39153,126,24386
13219,"Oconee County, Georgia",26225,9528,38028,14256,65,11347
13221,"Oglethorpe County, Georgia",12635,5368,14877,6637,50,1658
13223,"Paulding County, Georgia",81678,29274,159445,56445,1279,23472
13227,"Pickens County, Georgia",22983,10687,31588,13993,413,7680
13231,"Pike County, Georgia",13688,5068,18217,6974,1831,2849
13233,"Polk County, Georgia",38127,15059,42085,17033,8327,11052
13247,"Rockdale County, Georgia",70111,25082,90312,33619,6855,31805
13255,"Spalding County, Georgia",58417,23001,65380,27415,5731,22627
13285,"Troup County, Georgia",58779,23824,69786,28536,6294,39608
13293,"Upson County, Georgia",27597,11616,26135,12130,7981,6497
13297,"Walton County, Georgia",60687,22500,91600,33740,10991,22747
17011,"Bureau County, Illinois",35503,15331,33243,15689,2396,11893
17037,"DeKalb County, Illinois",88969,32988,104733,41195,33108,37638
17043,"DuPage County, Illinois",904161,335621,930128,360146,74192,620122
17063,"Grundy County, Illinois",37535,15040,50586,20936,1574,19168
17089,"Kane County, Illinois",404119,138998,534667,187813,192864,209751
17091,"Kankakee County, Illinois",103833,40610,109605,45507,36437,44939
