,Total_emp00,Total_emp17,emp_NET00-17,emp_%00-17
06001,697215,772071,74856,0.10736429939114907
06013,337924,366799,28875,0.08544820728921296
06037,4110915,4394364,283449,0.06895034317177563
06041,112454,115421,2967,0.026384121507460827
06055,60552,76765,16213,0.26775333597569034
06059,1394604,1594892,200288,0.1436163957653929
06069,15175,16977,1802,0.11874794069192751
06075,611676,716999,105323,0.17218756335053198
06077,200996,248049,47053,0.2340991860534538
06081,380137,400560,20423,0.05372536743332009
06085,1036582,1071733,35151,0.0339104865799329
06087,101884,104396,2512,0.024655490557889365
06095,117281,138088,20807,0.17741151593182186
06097,191453,205487,14034,0.07330258601327741
08001,144502,204944,60442,0.4182779477100663
08005,283927,328122,44195,0.15565620740542463
08013,179599,179832,233,0.0012973346176760449
08019,2902,2998,96,0.03308063404548587
08031,468995,505971,36976,0.0788409258094436
08035,56656,121134,64478,1.138061282123694
08039,3030,3560,530,0.17491749174917492
08047,5457,4878,-579,-0.10610225398570643
08059,210315,232912,22597,0.10744359650999691
08093,2051,2481,430,0.20965382740126767
08123,69319,105224,35905,0.5179676567751987
09001,428461,419998,-8463,-0.019752089455049585
09005,66011,60508,-5503,-0.08336489372983291
09009,366580,364067,-2513,-0.006855256697037481
09015,38168,38776,608,0.015929574512680778
10001,50129,66411,16282,0.32480201081210475
10003,284283,287590,3307,0.011632774383273006
11001,636179,763805,127626,0.20061334938751516
12011,642691,797260,154569,0.24050282328521794
12061,41704,51127,9423,0.2259495492039133
12085,50920,66748,15828,0.310840534171249
12086,978174,1122440,144266,0.14748500777980195
12093,9792,11774,1982,0.20241013071895425
12099,480400,596712,116312,0.2421149042464613
12111,51134,74443,23309,0.4558415144522236
13013,11646,18416,6770,0.5813154731238194
13015,30542,36699,6157,0.20159125139152642
13035,5323,6333,1010,0.1897426263385309
13045,31811,39938,8127,0.2554776649586621
13057,33489,58718,25229,0.7533518468750933
13059,61525,71204,9679,0.15731816334823243
13063,117130,123123,5993,0.051165371809100996
13067,303343,357101,53758,0.17721852820074965
13077,27006,37781,10775,0.3989854106494853
13085,4193,9033,4840,1.154304793703792
13089,313584,297496,-16088,-0.05130363794071126
13097,30777,42124,11347,0.36868440718718526
13113,32965,43626,10661,0.3234036098892765
13117,34019,72767,38748,1.139010552926306
13121,759387,851319,91932,0.12106080298977992
13129,21475,21466,-9,-0.00041909196740395806
13135,283386,352242,68856,0.24297601151785903
13139,64694,85501,20807,0.3216217887284756
13143,6267,6536,269,0.042923248763363654
13149,2493,2076,-417,-0.16726835138387486
13151,31474,58450,26976,0.8570883904174874
13157,15175,26385,11210,0.7387149917627677
13159,2591,2216,-375,-0.14473176379776148
13171,3708,3536,-172,-0.04638619201725998
13195,3586,3079,-507,-0.14138315672058002
13199,6029,4819,-1210,-0.2006966329407862
13211,5809,7047,1238,0.213117576174901
13217,17600,24386,6786,0.3855681818181818
13219,6417,11347,4930,0.7682717780894499
13221,1697,1658,-39,-0.022981732469063054
13223,11996,23472,11476,0.956652217405802
