,GEOID,NAMELSAD,CSA,ALAND_mi,2010,2000,NAME,2000-2010_NET,2000-2010_%
0,0644000,"Los Angeles city, California",348,468.658669999999,3796060,3694820,Los Angeles city,101240,0.02740052289421406
1,0653000,"Oakland city, California",488,55.8960399999999,391571,399484,Oakland city,-7913,-0.019808052387579978
2,0667000,"San Francisco city, California",488,46.9056399999999,805770,776733,San Francisco city,29037,0.03738350243906207
3,0668000,"San Jose city, California",488,177.5141,955255,894943,San Jose city,60312,0.06739200150177162
4,0820000,"Denver city, Colorado",216,153.30483,603218,554636,Denver city,48582,0.08759258324378512
5,1150000,"Washington city, District of Columbia",548,61.1398799999999,605040,572059,Washington city,32981,0.05765314416869589
6,1245000,"Miami city, Florida",370,35.98691,400864,362470,Miami city,38394,0.10592324882059205
7,1304000,"Atlanta city, Georgia",122,133.433439999999,422849,416474,Atlanta city,6375,0.015307077992863901
8,1714000,"Chicago city, Illinois",176,227.3401,2697661,2896016,Chicago city,-198355,-0.0684923702078994
9,2507000,"Boston city, Massachusetts",148,48.34364,620702,589141,Boston city,31561,0.053571216398111826
10,2622000,"Detroit city, Michigan",220,138.7186,711043,951270,Detroit city,-240227,-0.2525329296624512
11,2743000,"Minneapolis city, Minnesota",378,54.0007999999999,383074,382618,Minneapolis city,456,0.0011917891996717353
12,2758000,"St. Paul city, Minnesota",378,51.9742999999999,285441,287151,St. Paul city,-1710,-0.005955055005902818
13,3651000,"New York city, New York",408,300.361879999999,8193703,8008278,New York city,185425,0.02315416622649713
14,4260000,"Philadelphia city, Pennsylvania",428,134.17818,1528271,1517550,Philadelphia city,10721,0.007064676616915423
15,4819000,"Dallas city, Texas",206,339.959169999999,1200468,1188580,Dallas city,11888,0.010001850948190278
16,4827000,"Fort Worth city, Texas",206,344.80336,748569,534694,Fort Worth city,213875,0.3999951374056937
17,4835000,"Houston city, Texas",288,636.51076,2099256,1953631,Houston city,145625,0.07454068859472439
18,5363000,"Seattle city, Washington",500,83.83377,610333,563374,Seattle city,46959,0.08335315438767142
