CSA,CSA_name,Total_emp10,Total_emp17,emp_NET00-17,emp_%00-17
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",2372462,2844759,472297,0.199074632175352
148,"Boston-Worcester-Providence, MA-RI-NH-CT",3691234,4120001,428767,0.11615817366224954
176,"Chicago-Naperville, IL-IN-WI",1846796,2058285,211489,0.11451670893807438
206,"Dallas-Fort Worth, TX-OK",2944870,3584626,639756,0.21724422470261845
216,"Denver-Aurora, CO",1405857,1729926,324069,0.23051348750264075
220,"Detroit-Warren-Ann Arbor, MI",2022604,2312528,289924,0.1433419492891342
288,"Houston-The Woodlands, TX",2541934,2968025,426091,0.16762472983169507
348,"Los Angeles-Long Beach, CA",5212807,5989256,776449,0.14895026806095066
370,"Miami-Fort Lauderdale-Port St. Lucie, FL",2286983,2720504,433521,0.18956021973053583
378,"Minneapolis-St. Paul, MN-WI",1823091,2063585,240494,0.13191552149618424
408,"New York-Newark, NY-NJ-CT-PA",9347507,10420967,1073460,0.11483917583586725
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",3020134,3219678,199544,0.06607124054760484
488,"San Jose-San Francisco-Oakland, CA",3421777,4233345,811568,0.23717734966363968
500,"Seattle-Tacoma, WA",1891548,2249725,358177,0.18935654818170092
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",4347320,4731047,383727,0.08826748433517662
