County_name,Name,STCO,LaborForce,CSA,CSA_name
Alameda,"Alameda County, California",06001,864007,488,"San Jose-San Francisco-Oakland, CA"
Contra Costa,"Contra Costa County, California",06013,565656,488,"San Jose-San Francisco-Oakland, CA"
Los Angeles,"Los Angeles County, California",06037,5173061,348,"Los Angeles-Long Beach, CA"
Marin,"Marin County, California",06041,137609,488,"San Jose-San Francisco-Oakland, CA"
Napa,"Napa County, California",06055,74844,488,"San Jose-San Francisco-Oakland, CA"
Orange,"Orange County, California",06059,1645577,348,"Los Angeles-Long Beach, CA"
San Benito,"San Benito County, California",06069,29883,488,"San Jose-San Francisco-Oakland, CA"
San Francisco,"San Francisco County, California",06075,521164,488,"San Jose-San Francisco-Oakland, CA"
San Joaquin,"San Joaquin County, California",06077,326928,488,"San Jose-San Francisco-Oakland, CA"
San Mateo,"San Mateo County, California",06081,419603,488,"San Jose-San Francisco-Oakland, CA"
Santa Clara,"Santa Clara County, California",06085,1005037,488,"San Jose-San Francisco-Oakland, CA"
Santa Cruz,"Santa Cruz County, California",06087,142697,488,"San Jose-San Francisco-Oakland, CA"
Solano,"Solano County, California",06095,216959,488,"San Jose-San Francisco-Oakland, CA"
Sonoma,"Sonoma County, California",06097,263225,488,"San Jose-San Francisco-Oakland, CA"
Adams,"Adams County, Colorado",08001,254614,216,"Denver-Aurora, CO"
Arapahoe,"Arapahoe County, Colorado",08005,342792,216,"Denver-Aurora, CO"
Boulder,"Boulder County, Colorado",08013,178533,216,"Denver-Aurora, CO"
Broomfield,"Broomfield County, Colorado",08014,35145,216,"Denver-Aurora, CO"
Clear Creek,"Clear Creek County, Colorado",08019,5444,216,"Denver-Aurora, CO"
Denver,"Denver County, Colorado",08031,381214,216,"Denver-Aurora, CO"
Douglas,"Douglas County, Colorado",08035,171294,216,"Denver-Aurora, CO"
Elbert,"Elbert County, Colorado",08039,13331,216,"Denver-Aurora, CO"
Gilpin,"Gilpin County, Colorado",08047,3260,216,"Denver-Aurora, CO"
Jefferson,"Jefferson County, Colorado",08059,317010,216,"Denver-Aurora, CO"
Park,"Park County, Colorado",08093,9243,216,"Denver-Aurora, CO"
Weld,"Weld County, Colorado",08123,142756,216,"Denver-Aurora, CO"
Fairfield,"Fairfield County, Connecticut",09001,510737,408,"New York-Newark, NY-NJ-CT-PA"
Litchfield,"Litchfield County, Connecticut",09005,105511,408,"New York-Newark, NY-NJ-CT-PA"
New Haven,"New Haven County, Connecticut",09009,461510,408,"New York-Newark, NY-NJ-CT-PA"
Windham,"Windham County, Connecticut",09015,64506,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Kent,"Kent County, Delaware",10001,85082,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
New Castle,"New Castle County, Delaware",10003,290713,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
District of Columbia,"District of Columbia, District of Columbia",11001,385056,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Broward,"Broward County, Florida",12011,998427,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Indian River,"Indian River County, Florida",12061,60255,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Martin,"Martin County, Florida",12085,68328,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Miami-Dade,"Miami-Dade County, Florida",12086,1351925,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Okeechobee,"Okeechobee County, Florida",12093,15186,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Palm Beach,"Palm Beach County, Florida",12099,694060,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
St. Lucie,"St. Lucie County, Florida",12111,129683,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Barrow,"Barrow County, Georgia",13013,35655,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Bartow,"Bartow County, Georgia",13015,49070,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Butts,"Butts County, Georgia",13035,9499,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Carroll,"Carroll County, Georgia",13045,54324,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Cherokee,"Cherokee County, Georgia",13057,120535,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Clarke,"Clarke County, Georgia",13059,61444,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Clayton,"Clayton County, Georgia",13063,134017,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Cobb,"Cobb County, Georgia",13067,403059,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Coweta,"Coweta County, Georgia",13077,69101,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Dawson,"Dawson County, Georgia",13085,11200,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
DeKalb,"DeKalb County, Georgia",13089,392376,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Douglas,"Douglas County, Georgia",13097,70886,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Fayette,"Fayette County, Georgia",13113,54556,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Forsyth,"Forsyth County, Georgia",13117,103531,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Fulton,"Fulton County, Georgia",13121,532926,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Gordon,"Gordon County, Georgia",13129,26030,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Gwinnett,"Gwinnett County, Georgia",13135,457651,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Hall,"Hall County, Georgia",13139,91543,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Haralson,"Haralson County, Georgia",13143,12668,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Heard,"Heard County, Georgia",13149,5226,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Henry,"Henry County, Georgia",13151,105927,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Jackson,"Jackson County, Georgia",13157,28914,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Jasper,"Jasper County, Georgia",13159,6159,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Lamar,"Lamar County, Georgia",13171,7855,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Madison,"Madison County, Georgia",13195,12558,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Meriwether,"Meriwether County, Georgia",13199,8848,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Morgan,"Morgan County, Georgia",13211,8429,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Newton,"Newton County, Georgia",13217,50089,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Oconee,"Oconee County, Georgia",13219,17698,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Oglethorpe,"Oglethorpe County, Georgia",13221,6706,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Paulding,"Paulding County, Georgia",13223,76573,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Pickens,"Pickens County, Georgia",13227,13703,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Pike,"Pike County, Georgia",13231,8275,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Polk,"Polk County, Georgia",13233,18285,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Rockdale,"Rockdale County, Georgia",13247,41941,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
