,Total_emp00,Total_emp08,Total_emp17,emp_NET00-08,emp_%00-08,emp_NET08-17,emp_%08-17
06001,697215,683099,771652,-14116,-0.020246265499164532,88553,0.12963421114655416
06013,337924,339547,366720,1623,0.004802855079840437,27173,0.08002721272754582
06037,4110915,4168699,4381836,57784,0.014056238088114204,213137,0.051127941835090514
06041,112454,109340,115432,-3114,-0.0276913226741601,6092,0.05571611487104445
06055,60552,68850,76762,8298,0.13703923900118906,7912,0.11491648511256354
06059,1394604,1482773,1594267,88169,0.06322153098657397,111494,0.07519289871072646
06065,470242,610377,713182,140135,0.29800613301236384,102805,0.16842869243107128
06069,15175,15642,16975,467,0.030774299835255352,1333,0.08521928142181306
06071,530140,649531,730004,119391,0.22520654921341532,80473,0.1238940096777521
06075,611676,573011,716917,-38665,-0.06321156952373479,143906,0.2511400304706192
06077,200996,220827,248066,19831,0.09866365499810942,27239,0.12334995267788812
06081,380137,342361,400511,-37776,-0.09937469912163246,58150,0.16984995370383893
06085,1036582,906502,1071448,-130080,-0.12548934864776737,164946,0.18195878222000614
06087,101884,97409,104279,-4475,-0.04392250009815084,6870,0.07052736400127298
06095,117281,126324,138371,9043,0.07710541349408685,12047,0.09536588455083753
06097,191453,190574,205511,-879,-0.004591205152178341,14937,0.0783790023822767
06111,287819,314394,322344,26575,0.09233233386260115,7950,0.02528674211339911
08001,144502,155118,204964,10616,0.0734661111956928,49846,0.3213424618677394
08005,283927,282659,328169,-1268,-0.004465936666819288,45510,0.16100672541826017
08013,179599,162252,179825,-17347,-0.09658739747994143,17573,0.10830683134876612
08019,2902,3418,2998,516,0.17780840799448655,-420,-0.12287887653598596
08031,468995,449264,506049,-19731,-0.04207081098945618,56785,0.12639561594073864
08035,56656,93704,121139,37048,0.6539113244846089,27435,0.29278365918210536
08039,3030,3405,3560,375,0.12376237623762376,155,0.04552129221732746
08047,5457,4759,4878,-698,-0.12790910756826096,119,0.02500525320445472
08059,210315,211502,232938,1187,0.005643915079761311,21436,0.10135128745827462
08093,2051,2404,2481,353,0.1721111652852267,77,0.032029950083194675
08123,69319,83491,105476,14172,0.20444611145573363,21985,0.2633217951635506
09001,428461,419353,420100,-9108,-0.021257477343328796,747,0.0017813155026910504
09005,66011,63207,60552,-2804,-0.0424777688567057,-2655,-0.042004841235939054
09009,366580,364373,363972,-2207,-0.006020513939658465,-401,-0.0011005206203533193
09015,38168,39142,38772,974,0.025518759169985326,-370,-0.00945276173930816
10001,50129,62659,66322,12530,0.2499551158012328,3663,0.05845927959271613
10003,284283,281652,288048,-2631,-0.009254862232352973,6396,0.022708874781645436
11001,636179,685069,763847,48890,0.07684944017328456,78778,0.1149927963460615
12011,642691,736490,797509,93799,0.14594727481791406,61019,0.08285109098562099
12061,41704,49098,51149,7394,0.17729714176098216,2051,0.041773595665811236
12085,50920,57358,66782,6438,0.12643362136684996,9424,0.16430140520938666
12086,978174,1006416,1122550,28242,0.028872163848149716,116134,0.11539363444142382
12093,9792,10407,11762,615,0.0628063725490196,1355,0.13020082636686844
12099,480400,530703,596686,50303,0.10471065778517902,65983,0.12433131148683915
12111,51134,69934,74471,18800,0.3676614385731607,4537,0.06487545399948523
13013,11646,15607,18416,3961,0.34011677829297615,2809,0.17998334080861153
13015,30542,34388,36722,3846,0.12592495579857246,2334,0.06787251366755845
13035,5323,5733,6329,410,0.07702423445425512,596,0.1039595325309611
13045,31811,38042,39986,6231,0.19587564050171324,1944,0.05110141422638137
13057,33489,46963,58741,13474,0.4023410672161008,11778,0.2507931776079041
13059,61525,67684,71145,6159,0.10010564811052418,3461,0.05113468471130548
13063,117130,112556,123044,-4574,-0.03905062750789721,10488,0.09318028359216746
13067,303343,316321,357204,12978,0.0427832519623001,40883,0.12924529196607243
13077,27006,32376,37789,5370,0.1988447011775161,5413,0.16719174697306646
13085,4193,7659,9035,3466,0.8266157882184594,1376,0.17965791878835358
13089,313584,296746,297451,-16838,-0.053695341599061176,705,0.002375769176332621
13097,30777,41348,42120,10571,0.3434707736296585,772,0.018670794234303956
13113,32965,39817,43637,6852,0.20785681783709994,3820,0.09593892056156918
13117,34019,58331,72778,24312,0.7146594550104354,14447,0.2476727640534193
13121,759387,741081,851423,-18306,-0.024106285727830475,110342,0.14889330585995322
13129,21475,20953,21471,-522,-0.02430733410942957,518,0.024721996850093065
13135,283386,317292,352117,33906,0.11964599521500709,34825,0.10975694313124819
13139,64694,74256,85486,9562,0.14780350573468945,11230,0.1512335703512174
13143,6267,7900,6534,1633,0.26057124621030797,-1366,-0.17291139240506329
13149,2493,2962,2077,469,0.18812675491375852,-885,-0.2987846049966239
13151,31474,49520,58470,18046,0.5733621401791955,8950,0.180735056542811
13157,15175,18375,26377,3200,0.21087314662273476,8002,0.4354829931972789
13159,2591,2341,2218,-250,-0.09648784253184099,-123,-0.05254164886800513
13171,3708,3743,3535,35,0.009439050701186624,-208,-0.055570398076409296
13195,3586,3513,3079,-73,-0.020356943669827106,-434,-0.12354113293481354
13199,6029,4714,4819,-1315,-0.2181124564604412,105,0.022274077216801018
13211,5809,6314,7047,505,0.08693406782578757,733,0.11609122584732341
13217,17600,21441,24384,3841,0.21823863636363636,2943,0.13726038897439485
13219,6417,9099,11352,2682,0.4179523141654979,2253,0.24760962743158588
13221,1697,1794,1658,97,0.057159693576900414,-136,-0.0758082497212932
13223,11996,19807,23480,7811,0.651133711237079,3673,0.18543949108900892
13227,5443,7861,7687,2418,0.4442403086533162,-174,-0.02213458847474876
13231,1831,2354,2850,523,0.2856362643364282,496,0.2107051826677995
13233,10304,11880,11047,1576,0.1529503105590062,-833,-0.07011784511784512
13247,33830,30637,31800,-3193,-0.0943836831214898,1163,0.037960635832490125
13255,22807,22259,22633,-548,-0.02402771079054676,374,0.01680219237162496
13285,34637,30537,39605,-4100,-0.11837052862545833,9068,0.2969512394799751
13293,9691,7554,6499,-2137,-0.22051387885667115,-1055,-0.13966110669843793
13297,13668,19403,22729,5735,0.41959321041849573,3326,0.17141679121785292
17011,11924,12561,11898,637,0.05342167058034217,-663,-0.05278242178170528
17031,2687318,2501435,2572191,-185883,-0.06917045172919617,70756,0.028286163742012087
17037,33108,37783,37638,4675,0.14120454270871088,-145,-0.0038377047878675593
17043,582131,591695,620473,9564,0.01642929168864053,28778,0.04863654416549067
17063,14493,16252,19200,1759,0.12136893672807562,2948,0.1813930593157765
17089,192864,207321,209820,14457,0.07495955699352912,2499,0.012053771687383334
17091,42801,43390,44961,589,0.013761360715871125,1571,0.036206499193362524
17093,15669,24226,28503,8557,0.5461101538068798,4277,0.17654585982002807
17097,310413,332890,335598,22477,0.07240998282932738,2708,0.008134819309681877
17099,44492,44162,42841,-330,-0.007417063741796278,-1321,-0.02991259453829084
17111,87149,102380,97742,15231,0.17476964738551218,-4638,-0.04530181676108615
17155,2132,2258,1847,126,0.05909943714821764,-411,-0.1820194862710363
17197,142088,196008,239989,53920,0.3794831372107426,43981,0.22438369862454594
18073,10877,12268,12055,1391,0.12788452698354325,-213,-0.01736224323443104
18089,199240,194203,187601,-5037,-0.025281068058622767,-6602,-0.03399535537556062
18091,47385,44315,40258,-3070,-0.06478843515880553,-4057,-0.09154913686110798
18111,4239,3867,3253,-372,-0.08775654635527247,-614,-0.15877941556762348
18127,54996,57090,59111,2094,0.03807549639973816,2021,0.035400245226834826
24003,193332,233867,270987,40535,0.20966523907061427,37120,0.1587226928125815
24005,357453,375321,374732,17868,0.0499869912967579,-589,-0.0015693233258996966
24009,16882,21832,24268,4950,0.29321170477431585,2436,0.11157933308904361
24013,46655,57112,58683,10457,0.2241346050798414,1571,0.027507353971144417
24015,22959,30733,31827,7774,0.3386035977176706,1094,0.035596915367845636
24017,36099,42060,41666,5961,0.1651292279564531,-394,-0.00936757013789824
24019,11198,11431,10869,233,0.020807287015538488,-562,-0.04916455253258682
24021,77069,93962,100627,16893,0.21919319051758815,6665,0.07093293033353909
24025,68601,82631,93414,14030,0.20451596915496859,10783,0.1304958187605136
24027,128526,148289,170419,19763,0.15376655307097398,22130,0.14923561423976156
24031,447208,457736,469311,10528,0.023541618217920966,11575,0.025287501966198857
24033,303252,313443,318943,10191,0.033605714059594,5500,0.017547050021854055
24035,10726,14114,14689,3388,0.31586798433712476,575,0.04073969108686411
24037,33333,39907,43797,6574,0.1972219722197222,3890,0.0974766331721252
24041,18265,19568,19370,1303,0.07133862578702437,-198,-0.010118560915780866
24043,62911,66106,66575,3195,0.050786031059751074,469,0.007094666142256376
24510,386646,339613,340218,-47033,-0.12164357060463576,605,0.0017814394619758373
25001,88331,91462,97262,3131,0.03544621933409562,5800,0.06341431414139205
25005,220983,216022,226304,-4961,-0.02244969070018961,10282,0.04759700400885095
25009,304338,299109,325362,-5229,-0.017181554718766635,26253,0.08777067891638166
25017,846092,822987,900749,-23105,-0.0273079050505146,77762,0.09448751924392487
25021,323694,324381,352059,687,0.0021223748354927802,27678,0.08532558935326051
25023,165897,176358,193131,10461,0.06305719814101521,16773,0.09510767869900996
25025,606715,592506,672324,-14209,-0.023419562727145366,79818,0.13471255987281142
25027,320128,319368,346730,-760,-0.002374050379848061,27362,0.08567545903158738
26049,165716,135590,134077,-30126,-0.18179294696951412,-1513,-0.01115864001770042
26087,22487,20213,21243,-2274,-0.10112509449904389,1030,0.05095730470489289
26091,33987,28715,26984,-5272,-0.15511813340394856,-1731,-0.060282082535260316
26093,48488,45835,61112,-2653,-0.05471456855304405,15277,0.3333042434820552
26099,337298,300162,326828,-37136,-0.11009848857686674,26666,0.08883869377202977
26115,43551,40090,40602,-3461,-0.07947004661201809,512,0.012771264654527313
26125,767675,671918,728374,-95757,-0.12473637932718924,56456,0.08402215746564314
26147,51334,48118,44624,-3216,-0.0626485370319866,-3494,-0.07261315931667983
26161,195688,186883,210215,-8805,-0.04499509423163403,23332,0.12484816703498981
26163,865158,721270,718667,-143888,-0.16631412990459546,-2603,-0.0036089120578978746
27003,108692,113985,122342,5293,0.04869723622713723,8357,0.07331666447339562
27009,13923,16113,17474,2190,0.1572936867054514,1361,0.08446595916340843
27019,28729,33166,39091,4437,0.15444324550106164,5925,0.1786468069709944
27025,12598,14139,15443,1541,0.12232100333386252,1304,0.09222717306740222
27037,153031,174403,188304,21372,0.13965797779534866,13901,0.07970619771448885
27049,21904,21441,21590,-463,-0.021137691745799853,149,0.006949302737745441
27053,873548,842154,915718,-31394,-0.035938494507456946,73564,0.08735219449174379
27059,9134,10780,10830,1646,0.18020582439238012,50,0.00463821892393321
27079,9216,7793,8862,-1423,-0.15440538194444445,1069,0.13717438727062747
27085,18019,18047,16305,28,0.001553915311615517,-1742,-0.09652573834986425
