CSA_y,"10,000-25,000","2,500-10,000","25,000-50,000","50,000+","Less than 2,500"
122,3.8689299999999998,45.57201000000002,0.0,0.0,15.34215
148,12.754399999999997,4.13363,5.612980000000001,1.00313,4.17905
176,72.30697000000004,56.25336999999998,18.114200000000007,0.9083699999999999,11.12591
206,12.233189999999997,204.28337,0.49742,0.0,67.75158999999998
216,7.335369999999999,34.54578,0.20169,0.0,1.2844799999999998
220,3.39414,77.22792,0.0,0.0,13.58172
288,22.498630000000002,223.1231299999999,0.28636,0.06226,88.75527000000001
348,102.06014000000002,111.29576,16.94755,1.7539999999999998,51.74152999999999
370,12.87579,3.6171599999999997,1.63481,0.14382,0.0
378,14.125950000000003,43.037910000000004,0.20895,0.0,0.89715
408,65.06355000000002,23.615219999999997,55.69437000000002,56.8166800000001,32.034349999999996
428,41.970690000000005,21.737929999999995,14.0261,0.54794,4.86614
488,48.766930000000016,43.46438,12.601850000000002,1.2322799999999998,2.28544
500,17.32957,25.30382,1.31052,0.19640000000000002,0.0
548,15.802359999999998,19.218790000000002,4.96011,0.35824,0.77615
