CSA,CSA_name,TotalHousing10,Owners10,renters10,TotalHousing16,Owners16,renters16,HousingNET,OwnersNET,RentersNET
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",2385537,1419824,677107,2475969,1396394,824382,90432,-23430,147275
148,"Boston-Worcester-Providence, MA-RI-NH-CT",3352133,1964962,1066964,3412143,1934972,1151423,60010,-29990,84459
176,"Chicago-Naperville, IL-IN-WI",1761685,1261908,371183,1792036,1222063,435630,30351,-39845,64447
206,"Dallas-Fort Worth, TX-OK",2637717,1509869,866058,2832798,1566020,1034702,195081,56151,168644
216,"Denver-Aurora, CO",1282906,787841,395363,1350238,814383,464369,67332,26542,69006
220,"Detroit-Warren-Ann Arbor, MI",2336269,1504995,561392,2340603,1420760,652609,4334,-84235,91217
288,"Houston-The Woodlands, TX",2299533,1284443,739694,2534512,1383407,907205,234979,98964,167511
348,"Los Angeles-Long Beach, CA",4467990,2151123,2051269,4562239,2081082,2217775,94249,-70041,166506
370,"Miami-Fort Lauderdale-Port St. Lucie, FL",2749614,1509088,744024,2809034,1419029,888587,59420,-90059,144563
378,"Minneapolis-St. Paul, MN-WI",1512218,1035406,383150,1554227,1028692,444354,42009,-6714,61204
408,"New York-Newark, NY-NJ-CT-PA",8807139,4454177,3574928,8973910,4328256,3794128,166771,-125921,219200
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",2925011,1841107,784249,2965130,1789788,851882,40119,-51319,67633
488,"San Jose-San Francisco-Oakland, CA",3115353,1686652,1200391,3202912,1671214,1347297,87559,-15438,146906
500,"Seattle-Tacoma, WA",1801686,1062172,602866,1893806,1070569,680252,92120,8397,77386
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",3622663,2231117,1086748,3763493,2235443,1237556,140830,4326,150808
