CSA,CSA_name,Total_emp10,Total_emp17,emp_NET00-17,emp_%00-17
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",2372462,2844774,472312,0.19908095472129797
148,"Boston-Worcester-Providence, MA-RI-NH-CT",3691234,4121641,430407,0.11660246952645105
176,"Chicago-Naperville, IL-IN-WI",4192303,4631371,439068,0.10473193373665977
206,"Dallas-Fort Worth, TX-OK",2944870,3586036,641166,0.21772302342718014
216,"Denver-Aurora, CO",1405857,1730344,324487,0.23081081504022102
220,"Detroit-Warren-Ann Arbor, MI",2022604,2312726,290122,0.143439842895594
288,"Houston-The Woodlands, TX",2541934,2969515,427581,0.16821089768656464
348,"Los Angeles-Long Beach, CA",6655146,7741633,1086487,0.16325517126145692
370,"Miami-Fort Lauderdale-Port St. Lucie, FL",2286983,2720909,433926,0.1897373089349593
378,"Minneapolis-St. Paul, MN-WI",1823091,2063304,240213,0.1317613876652345
408,"New York-Newark, NY-NJ-CT-PA",9347507,10423589,1076082,0.11511967843404664
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",3020134,3219771,199637,0.06610203388326479
488,"San Jose-San Francisco-Oakland, CA",3421777,4232644,810867,0.2369724853489868
500,"Seattle-Tacoma, WA",1891548,2249890,358342,0.18944377832336268
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",4347320,4731197,383877,0.08830198835144411
