CSA,CSA_name,pop2000,hu2000,hu2008,1-2units_00,+3units_00,1-2units,+3units
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",4778990,1853158,2408557,454314,123679,156366,72458
148,"Boston-Worcester-Providence, MA-RI-NH-CT",7630016,3135867,3357101,148231,54704,85160,65588
176,"Chicago-Naperville, IL-IN-WI",4088612,1516964,1770084,224623,30923,56625,16008
206,"Dallas-Fort Worth, TX-OK",5565005,2180002,2648141,328860,92292,223385,174959
216,"Denver-Aurora, CO",2629980,1068646,1266734,153404,55947,85517,71510
220,"Detroit-Warren-Ann Arbor, MI",5456428,2208124,2339936,140823,28409,49786,13263
288,"Houston-The Woodlands, TX",4878216,1865805,2316282,330860,103779,310443,124964
348,"Los Angeles-Long Beach, CA",12365627,4240393,4477784,123264,118077,71951,141843
370,"Miami-Fort Lauderdale-Port St. Lucie, FL",5475847,2379888,2761106,224837,142164,68614,85323
378,"Minneapolis-St. Paul, MN-WI",3335000,1312902,1516804,152957,45713,65048,41353
408,"New York-Newark, NY-NJ-CT-PA",21491898,8341615,8819237,270955,239743,129452,321936
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",6688798,2740528,2929769,166248,41112,86344,46290
488,"San Jose-San Francisco-Oakland, CA",7656194,2856934,3122754,155975,87486,76288,109039
500,"Seattle-Tacoma, WA",3775744,1564957,1811275,163777,68909,107305,103518
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",7981257,3204298,3631935,315691,97779,182690,118677
