County_name,STCO,LaborForce00,PrimeAge00,Over65_00,55-64_00,Under25_00,LaborForce,PrimeAge,Over65,55-64,Under25,over65_%_16,over65_%_00,over65_%change,NET_LaborTotal,%_LaborTotal,NET_PrimeAge,%_PrimeAge,NET_Over65,%_Over65,NET_55-64,%_55-64,NET_Under25,%_Under25,CSA,CSA_name
Alameda,06001,734555,544706,19829,69158,100862,864007,600176,37369,131049,95413,0.04325080699577665,0.02699457494673646,0.01625623204904019,129452,0.176231868273989,55470,0.10183475122359585,129452,0.884563013767714,61891,0.8949217733306342,-5449,-0.054024310443972955,488,"San Jose-San Francisco-Oakland, CA"
Contra Costa,06013,474669,347450,15212,52312,59695,565656,373193,28760,95945,67758,0.0508436222721937,0.032047595271652456,0.018796027000541247,90987,0.19168515323309507,25743,0.07409123614908619,90987,0.8906126742045753,43633,0.8340916042208288,8063,0.13506993885585059,488,"San Jose-San Francisco-Oakland, CA"
Los Angeles,06037,4312264,3109376,129906,391344,681638,5173061,3536534,223549,742080,670898,0.043214066101288966,0.03012477900239874,0.013089287098890227,860797,0.19961602536393877,427158,0.13737740305450355,860797,0.720852000677413,350736,0.8962345149024898,-10740,-0.015756163828894516,348,"Los Angeles-Long Beach, CA"
Marin,06041,133052,96435,6165,19568,10884,137609,81778,14195,30114,11522,0.1031545901794214,0.046335267414244055,0.056819322765177344,4557,0.0342497670083877,-14657,-0.15198838595945455,4557,1.3025141930251418,10546,0.5389411283728537,638,0.058618155090040425,488,"San Jose-San Francisco-Oakland, CA"
Napa,06055,61208,42299,2463,7207,9239,74844,46797,4746,13204,10097,0.06341189674523008,0.040239837929682394,0.023172058815547687,13636,0.22278133577310155,4498,0.1063382113052318,13636,0.9269183922046285,5997,0.8321076730956015,858,0.09286719341920122,488,"San Jose-San Francisco-Oakland, CA"
Orange,06059,1411901,1020884,43770,141427,205820,1645577,1093411,81966,255086,215114,0.04980988431413419,0.031000757135238234,0.018809127178895955,233676,0.1655045219176132,72527,0.07104333107385365,233676,0.8726525017135024,113659,0.8036584244875448,9294,0.04515596151977456,348,"Los Angeles-Long Beach, CA"
Riverside,06065,654387,461082,23592,61128,108585,1071927,714833,44806,146320,165968,0.04179948821141738,0.036052060936418356,0.005747427274999023,417540,0.6380627977022771,253751,0.5503381177317701,417540,0.8992031197015937,85192,1.39366575055621,57383,0.528461573882212,348,"Los Angeles-Long Beach, CA"
San Benito,06069,25347,18321,710,2237,4079,29883,19546,1223,4542,4572,0.04092627915537262,0.028011204481792718,0.012915074673579902,4536,0.17895608947804473,1225,0.06686316249113039,4536,0.7225352112676057,2305,1.0303978542691103,493,0.12086295660701152,488,"San Jose-San Francisco-Oakland, CA"
San Bernardino,06071,735589,522919,17358,61444,133868,962592,640506,31046,131179,159861,0.032252501579069844,0.02359741649209001,0.008655085086979833,227003,0.3086003189280971,117587,0.22486656633245303,227003,0.7885701117640281,69735,1.1349358765705357,25993,0.19416888278005198,348,"Los Angeles-Long Beach, CA"
San Francisco,06075,448669,345232,13904,38633,50900,521164,387743,21168,68478,43775,0.04061677322301617,0.030989437647798265,0.009627335575217905,72495,0.16157791155618062,42511,0.12313748435834454,72495,0.522439585730725,29845,0.7725260787409728,-7125,-0.13998035363457761,488,"San Jose-San Francisco-Oakland, CA"
San Joaquin,06077,244516,171250,7471,22711,43084,326928,217085,12762,45670,51411,0.03903611804434004,0.03055423775949222,0.00848188028484782,82412,0.33704133880809434,45835,0.26764963503649636,82412,0.7082050595636461,22959,1.0109198185901105,8327,0.19327360505059882,488,"San Jose-San Francisco-Oakland, CA"
San Mateo,06081,373911,275734,13364,40632,44181,419603,283272,22825,70186,43320,0.0543966558866357,0.03574112556196528,0.01865553032467042,45692,0.12220020272203813,7538,0.027337941639406095,45692,0.7079467225381623,29554,0.7273577475881079,-861,-0.01948801521015821,488,"San Jose-San Francisco-Oakland, CA"
Santa Clara,06085,878932,653165,23370,85561,116836,1005037,705612,41456,146467,111502,0.04124823265213121,0.02658908766548493,0.014659144986646284,126105,0.14347526316029,52447,0.08029670910106941,126105,0.773898160034232,60906,0.7118430125875107,-5334,-0.04565373686192612,488,"San Jose-San Francisco-Oakland, CA"
Santa Cruz,06087,137734,97773,3764,12876,23321,142697,83213,8222,25534,25728,0.057618590439883106,0.02732803810242932,0.030290552337453786,4963,0.0360332234597122,-14560,-0.14891636750432125,4963,1.1843783209351753,12658,0.9830692761727244,2407,0.1032116976115947,488,"San Jose-San Francisco-Oakland, CA"
Solano,06095,190243,138285,4398,16874,30686,216959,139466,9943,34746,32804,0.045828935420978156,0.023117801969060624,0.022711133451917533,26716,0.14043092255694034,1181,0.008540333369490545,26716,1.260800363801728,17872,1.0591442455849236,2118,0.06902170370853158,488,"San Jose-San Francisco-Oakland, CA"
Sonoma,06097,240198,170495,8095,25301,36307,263225,161638,18065,48932,34590,0.06862949947763321,0.03370136304215689,0.03492813643547632,23027,0.09586674327013547,-8857,-0.05194873749963342,23027,1.2316244595429278,23631,0.9339947037666495,-1717,-0.04729115597543174,488,"San Jose-San Francisco-Oakland, CA"
Ventura,06111,372020,264932,11605,38576,56907,439178,280037,23747,72603,62791,0.05407146988237116,0.031194559432288587,0.022876910450082572,67158,0.18052255255093813,15105,0.05701463016925098,67158,1.0462731581214995,34027,0.8820769390294484,5884,0.10339677016887201,348,"Los Angeles-Long Beach, CA"
Adams,08001,190881,137924,4181,15593,33183,254614,175398,8361,33163,37692,0.03283794292536938,0.021903699163353083,0.010934243762016297,63733,0.3338886531399144,37474,0.27170035671819265,63733,0.9997608227696724,17570,1.1267876611299943,4509,0.13588283157038242,216,"Denver-Aurora, CO"
Arapahoe,08005,273207,201459,7059,25726,38963,342792,227417,16300,54067,45008,0.04755070129991365,0.025837551746477946,0.021713149553435705,69585,0.2546969879981113,25958,0.1288500389657449,69585,1.3091089389431931,28341,1.1016481380704346,6045,0.15514719092472345,216,"Denver-Aurora, CO"
Boulder,08013,169972,121414,3398,13796,31364,178533,107503,8798,28852,33380,0.049279404927940494,0.019991528016379167,0.029287876911561327,8561,0.05036711929023604,-13911,-0.11457492546164363,8561,1.589170100058858,15056,1.0913308205276893,2016,0.06427751562300726,216,"Denver-Aurora, CO"
Clear Creek,08019,5776,4348,150,724,554,5444,3150,474,1349,471,0.08706833210874357,0.025969529085872575,0.06109880302287099,-332,-0.0574792243767313,-1198,-0.2755289788408464,-332,2.16,625,0.8632596685082873,-83,-0.14981949458483754,216,"Denver-Aurora, CO"
Denver,08031,301714,219052,9973,23958,48731,381214,278291,14587,44263,44073,0.03826459678815573,0.03305448205916862,0.0052101147289871155,79500,0.26349456770318913,59239,0.2704335043733908,79500,0.46264915271232326,20305,0.8475248351281409,-4658,-0.09558597196856211,216,"Denver-Aurora, CO"
Douglas,08035,98970,80688,1570,8019,8693,171294,116288,7117,27581,20308,0.0415484488656929,0.015863392947357786,0.025685055918335115,72324,0.7307668990603213,35600,0.4412056315685108,72324,3.5331210191082802,19562,2.4394562913081432,11615,1.3361325204187278,216,"Denver-Aurora, CO"
Elbert,08039,11056,8490,265,1141,1160,13331,7764,895,3116,1556,0.06713674893106293,0.02396888567293777,0.04316786325812516,2275,0.20577062228654125,-726,-0.08551236749116607,2275,2.3773584905660377,1975,1.730937773882559,396,0.3413793103448276,216,"Denver-Aurora, CO"
