County_name,STCO,LaborForce00,PrimeAge00,Over65_00,LaborForce,PrimeAge,Over65,over65_%_16,over65_%_00,NET_LaborTotal,%_LaborTotal,NET_PrimeAge,%_PrimeAge,NET_Over65,%_Over65,over65_%change,CSA,CSA_name
Alameda,06001,734555,544706,19829,864007,600176,37369,0.04325080699577665,0.02699457494673646,129452,0.176231868273989,55470,0.10183475122359585,129452,0.884563013767714,0.01625623204904019,488,"San Jose-San Francisco-Oakland, CA"
Contra Costa,06013,474669,347450,15212,565656,373193,28760,0.0508436222721937,0.032047595271652456,90987,0.19168515323309507,25743,0.07409123614908619,90987,0.8906126742045753,0.018796027000541247,488,"San Jose-San Francisco-Oakland, CA"
Los Angeles,06037,4312264,3109376,129906,5173061,3536534,223549,0.043214066101288966,0.03012477900239874,860797,0.19961602536393877,427158,0.13737740305450355,860797,0.720852000677413,0.013089287098890227,348,"Los Angeles-Long Beach, CA"
Marin,06041,133052,96435,6165,137609,81778,14195,0.1031545901794214,0.046335267414244055,4557,0.0342497670083877,-14657,-0.15198838595945455,4557,1.3025141930251418,0.056819322765177344,488,"San Jose-San Francisco-Oakland, CA"
Napa,06055,61208,42299,2463,74844,46797,4746,0.06341189674523008,0.040239837929682394,13636,0.22278133577310155,4498,0.1063382113052318,13636,0.9269183922046285,0.023172058815547687,488,"San Jose-San Francisco-Oakland, CA"
Orange,06059,1411901,1020884,43770,1645577,1093411,81966,0.04980988431413419,0.031000757135238234,233676,0.1655045219176132,72527,0.07104333107385365,233676,0.8726525017135024,0.018809127178895955,348,"Los Angeles-Long Beach, CA"
San Benito,06069,25347,18321,710,29883,19546,1223,0.04092627915537262,0.028011204481792718,4536,0.17895608947804473,1225,0.06686316249113039,4536,0.7225352112676057,0.012915074673579902,488,"San Jose-San Francisco-Oakland, CA"
San Francisco,06075,448669,345232,13904,521164,387743,21168,0.04061677322301617,0.030989437647798265,72495,0.16157791155618062,42511,0.12313748435834454,72495,0.522439585730725,0.009627335575217905,488,"San Jose-San Francisco-Oakland, CA"
San Joaquin,06077,244516,171250,7471,326928,217085,12762,0.03903611804434004,0.03055423775949222,82412,0.33704133880809434,45835,0.26764963503649636,82412,0.7082050595636461,0.00848188028484782,488,"San Jose-San Francisco-Oakland, CA"
San Mateo,06081,373911,275734,13364,419603,283272,22825,0.0543966558866357,0.03574112556196528,45692,0.12220020272203813,7538,0.027337941639406095,45692,0.7079467225381623,0.01865553032467042,488,"San Jose-San Francisco-Oakland, CA"
Santa Clara,06085,878932,653165,23370,1005037,705612,41456,0.04124823265213121,0.02658908766548493,126105,0.14347526316029,52447,0.08029670910106941,126105,0.773898160034232,0.014659144986646284,488,"San Jose-San Francisco-Oakland, CA"
Santa Cruz,06087,137734,97773,3764,142697,83213,8222,0.057618590439883106,0.02732803810242932,4963,0.0360332234597122,-14560,-0.14891636750432125,4963,1.1843783209351753,0.030290552337453786,488,"San Jose-San Francisco-Oakland, CA"
Solano,06095,190243,138285,4398,216959,139466,9943,0.045828935420978156,0.023117801969060624,26716,0.14043092255694034,1181,0.008540333369490545,26716,1.260800363801728,0.022711133451917533,488,"San Jose-San Francisco-Oakland, CA"
Sonoma,06097,240198,170495,8095,263225,161638,18065,0.06862949947763321,0.03370136304215689,23027,0.09586674327013547,-8857,-0.05194873749963342,23027,1.2316244595429278,0.03492813643547632,488,"San Jose-San Francisco-Oakland, CA"
Adams,08001,190881,137924,4181,254614,175398,8361,0.03283794292536938,0.021903699163353083,63733,0.3338886531399144,37474,0.27170035671819265,63733,0.9997608227696724,0.010934243762016297,216,"Denver-Aurora, CO"
Arapahoe,08005,273207,201459,7059,342792,227417,16300,0.04755070129991365,0.025837551746477946,69585,0.2546969879981113,25958,0.1288500389657449,69585,1.3091089389431931,0.021713149553435705,216,"Denver-Aurora, CO"
Boulder,08013,169972,121414,3398,178533,107503,8798,0.049279404927940494,0.019991528016379167,8561,0.05036711929023604,-13911,-0.11457492546164363,8561,1.589170100058858,0.029287876911561327,216,"Denver-Aurora, CO"
Clear Creek,08019,5776,4348,150,5444,3150,474,0.08706833210874357,0.025969529085872575,-332,-0.0574792243767313,-1198,-0.2755289788408464,-332,2.16,0.06109880302287099,216,"Denver-Aurora, CO"
Denver,08031,301714,219052,9973,381214,278291,14587,0.03826459678815573,0.03305448205916862,79500,0.26349456770318913,59239,0.2704335043733908,79500,0.46264915271232326,0.0052101147289871155,216,"Denver-Aurora, CO"
Douglas,08035,98970,80688,1570,171294,116288,7117,0.0415484488656929,0.015863392947357786,72324,0.7307668990603213,35600,0.4412056315685108,72324,3.5331210191082802,0.025685055918335115,216,"Denver-Aurora, CO"
Elbert,08039,11056,8490,265,13331,7764,895,0.06713674893106293,0.02396888567293777,2275,0.20577062228654125,-726,-0.08551236749116607,2275,2.3773584905660377,0.04316786325812516,216,"Denver-Aurora, CO"
Gilpin,08047,3150,2516,68,3260,2046,185,0.05674846625766871,0.02158730158730159,110,0.03492063492063492,-470,-0.18680445151033387,110,1.7205882352941178,0.03516116467036712,216,"Denver-Aurora, CO"
Jefferson,08059,300673,219841,8416,317010,201784,16850,0.053152897384940535,0.027990541219198264,16337,0.05433477565328446,-18057,-0.08213663511355934,16337,1.002138783269962,0.02516235616574227,216,"Denver-Aurora, CO"
Park,08093,8134,6586,131,9243,5535,611,0.06610407876230662,0.016105237275633146,1109,0.13634128350135236,-1051,-0.1595809292438506,1109,3.66412213740458,0.04999884148667347,216,"Denver-Aurora, CO"
Weld,08123,92841,62861,2523,142756,93388,6248,0.04376698702681499,0.027175493585807994,49915,0.5376396204263203,30527,0.4856270183420563,49915,1.4764169639318272,0.016591493441006994,216,"Denver-Aurora, CO"
Fairfield,09001,448096,322676,20103,510737,321045,32236,0.06311663341406634,0.044863154324073416,62641,0.1397937049203742,-1631,-0.005054605858508225,62641,0.6035417599363279,0.018253479089992926,408,"New York-Newark, NY-NJ-CT-PA"
