CSA,CSA_name,Total_emp00,Total_emp17,emp_NET00-17,emp_%00-17
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",2413348,2844759,431411,0.17876037769936204
148,"Boston-Worcester-Providence, MA-RI-NH-CT",3834847,4120001,285154,0.0743586380369282
176,"Chicago-Naperville, IL-IN-WI",1846953,2058285,211332,0.11442196958991377
206,"Dallas-Fort Worth, TX-OK",2844521,3584626,740105,0.26018616139589057
216,"Denver-Aurora, CO",1426753,1692056,265303,0.18594879422016283
220,"Detroit-Warren-Ann Arbor, MI",2531382,2312528,-218854,-0.08645633096861714
288,"Houston-The Woodlands, TX",2271793,2968025,696232,0.30646806289129336
348,"Los Angeles-Long Beach, CA",5505519,5989256,483737,0.08786401427367702
370,"Miami-Fort Lauderdale-Port St. Lucie, FL",2254815,2720504,465689,0.20653091273563462
378,"Minneapolis-St. Paul, MN-WI",1878800,2063585,184785,0.09835267191824569
408,"New York-Newark, NY-NJ-CT-PA",9482723,10420967,938244,0.09894246620933671
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",3068950,3219678,150728,0.049113866306065596
488,"San Jose-San Francisco-Oakland, CA",3863329,4233345,370016,0.09577646635841783
500,"Seattle-Tacoma, WA",1864356,2249725,385369,0.20670354803481739
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",4096584,4731047,634463,0.15487611141380234
