County_name,TotalHousing10,Owners10,renters10,Name,STCO,CSA,CSA_name
Napa,54306,31996,17183,"Napa County, California",06055,488,"San Jose-San Francisco-Oakland, CA"
Orange,1042254,599032,385471,"Orange County, California",06059,348,"Los Angeles-Long Beach, CA"
San Benito,17873,10807,6005,"San Benito County, California",06069,488,"San Jose-San Francisco-Oakland, CA"
San Francisco,372560,126028,209928,"San Francisco County, California",06075,488,"San Jose-San Francisco-Oakland, CA"
San Joaquin,231114,131357,81548,"San Joaquin County, California",06077,488,"San Jose-San Francisco-Oakland, CA"
San Mateo,270039,156149,99609,"San Mateo County, California",06081,488,"San Jose-San Francisco-Oakland, CA"
Santa Clara,626325,353399,243348,"Santa Clara County, California",06085,488,"San Jose-San Francisco-Oakland, CA"
Santa Cruz,104002,55878,37924,"Santa Cruz County, California",06087,488,"San Jose-San Francisco-Oakland, CA"
Solano,151616,91447,47564,"Solano County, California",06095,488,"San Jose-San Francisco-Oakland, CA"
Sonoma,202668,114787,69246,"Sonoma County, California",06097,488,"San Jose-San Francisco-Oakland, CA"
Adams,161760,101137,46814,"Adams County, Colorado",08001,216,"Denver-Aurora, CO"
Arapahoe,234519,144347,74562,"Arapahoe County, Colorado",08005,216,"Denver-Aurora, CO"
Boulder,125768,75189,42440,"Boulder County, Colorado",08013,216,"Denver-Aurora, CO"
Broomfield,21394,14963,5153,"Broomfield County, Colorado",08014,216,"Denver-Aurora, CO"
Clear Creek,5632,3387,777,"Clear Creek County, Colorado",08019,216,"Denver-Aurora, CO"
Denver,281296,133552,120629,"Denver County, Colorado",08031,216,"Denver-Aurora, CO"
Douglas,103249,81496,17229,"Douglas County, Colorado",08035,216,"Denver-Aurora, CO"
Elbert,8824,7430,705,"Elbert County, Colorado",08039,216,"Denver-Aurora, CO"
Gilpin,3489,1817,713,"Gilpin County, Colorado",08047,216,"Denver-Aurora, CO"
Jefferson,228951,156081,60937,"Jefferson County, Colorado",08059,216,"Denver-Aurora, CO"
Park,13590,6218,852,"Park County, Colorado",08093,216,"Denver-Aurora, CO"
Weld,94434,62224,24552,"Weld County, Colorado",08123,216,"Denver-Aurora, CO"
Fairfield,358132,234419,97363,"Fairfield County, Connecticut",09001,408,"New York-Newark, NY-NJ-CT-PA"
Litchfield,86607,60345,16343,"Litchfield County, Connecticut",09005,408,"New York-Newark, NY-NJ-CT-PA"
New Haven,359509,216131,114654,"New Haven County, Connecticut",09009,408,"New York-Newark, NY-NJ-CT-PA"
Windham,48518,31366,12955,"Windham County, Connecticut",09015,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Kent,63563,41836,15560,"Kent County, Delaware",10001,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
New Castle,215821,141546,56953,"New Castle County, Delaware",10003,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
District of Columbia,293492,111879,145438,"District of Columbia, District of Columbia",11001,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Broward,806858,463511,205387,"Broward County, Florida",12011,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Indian River,75425,44186,13374,"Indian River County, Florida",12061,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Martin,77490,47063,12140,"Martin County, Florida",12085,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Miami-Dade,980580,480532,347024,"Miami-Dade County, Florida",12086,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Okeechobee,18057,10461,3181,"Okeechobee County, Florida",12093,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Palm Beach,657106,384995,138155,"Palm Beach County, Florida",12099,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
St. Lucie,134098,78340,24763,"St. Lucie County, Florida",12111,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Barrow,25796,17669,5376,"Barrow County, Georgia",13013,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Bartow,38884,24825,9476,"Bartow County, Georgia",13015,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Butts,9272,5973,1816,"Butts County, Georgia",13035,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Carroll,44431,26806,12615,"Carroll County, Georgia",13045,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Cherokee,80182,59946,14393,"Cherokee County, Georgia",13057,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Clarke,50693,19258,22722,"Clarke County, Georgia",13059,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Clayton,104199,51088,35458,"Clayton County, Georgia",13063,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Cobb,283198,178606,78135,"Cobb County, Georgia",13067,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Coweta,48475,33461,10676,"Coweta County, Georgia",13077,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Dawson,10151,6438,1725,"Dawson County, Georgia",13085,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
DeKalb,301996,155105,109732,"DeKalb County, Georgia",13089,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Douglas,50276,31977,12770,"Douglas County, Georgia",13097,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Fayette,40205,31833,5850,"Fayette County, Georgia",13113,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Forsyth,61053,48070,7310,"Forsyth County, Georgia",13117,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Fulton,430124,200119,157344,"Fulton County, Georgia",13121,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Gordon,21813,13285,5944,"Gordon County, Georgia",13129,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Gwinnett,286599,187819,72556,"Gwinnett County, Georgia",13135,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Hall,66911,41502,18671,"Hall County, Georgia",13139,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Haralson,12199,7779,2800,"Haralson County, Georgia",13143,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Heard,5101,3159,1128,"Heard County, Georgia",13149,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Henry,74126,53165,13162,"Henry County, Georgia",13151,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Jackson,23306,15736,5181,"Jackson County, Georgia",13157,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Jasper,6073,3522,1476,"Jasper County, Georgia",13159,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Lamar,7371,4244,2133,"Lamar County, Georgia",13171,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Madison,11674,7246,2184,"Madison County, Georgia",13195,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Meriwether,9993,6125,2328,"Meriwether County, Georgia",13199,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Morgan,7404,4887,1642,"Morgan County, Georgia",13211,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Newton,37524,25501,8035,"Newton County, Georgia",13217,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Oconee,12134,9225,1930,"Oconee County, Georgia",13219,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Oglethorpe,6356,3765,936,"Oglethorpe County, Georgia",13221,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Paulding,50439,37894,8546,"Paulding County, Georgia",13223,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Pickens,13585,9059,2209,"Pickens County, Georgia",13227,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Pike,6659,4953,1004,"Pike County, Georgia",13231,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Polk,16822,10310,4313,"Polk County, Georgia",13233,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Rockdale,32514,19673,8888,"Rockdale County, Georgia",13247,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Spalding,26435,14917,8188,"Spalding County, Georgia",13255,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Troup,27478,15389,8301,"Troup County, Georgia",13285,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Upson,12188,7334,3168,"Upson County, Georgia",13293,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Walton,31898,22161,6986,"Walton County, Georgia",13297,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Alameda,577538,293277,238749,"Alameda County, California",06001,488,"San Jose-San Francisco-Oakland, CA"
Contra Costa,396782,255807,112280,"Contra Costa County, California",06013,488,"San Jose-San Francisco-Oakland, CA"
Los Angeles,3425736,1552091,1665798,"Los Angeles County, California",06037,348,"Los Angeles-Long Beach, CA"
Marin,110530,65720,37007,"Marin County, California",06041,488,"San Jose-San Francisco-Oakland, CA"
Jasper,12979,9633,2597,"Jasper County, Indiana",18073,176,"Chicago-Naperville, IL-IN-WI"
Lake,207975,129759,53193,"Lake County, Indiana",18089,176,"Chicago-Naperville, IL-IN-WI"
LaPorte,48308,31751,10339,"LaPorte County, Indiana",18091,176,"Chicago-Naperville, IL-IN-WI"
Newton,6041,4462,984,"Newton County, Indiana",18111,176,"Chicago-Naperville, IL-IN-WI"
Porter,65607,47833,13537,"Porter County, Indiana",18127,176,"Chicago-Naperville, IL-IN-WI"
Anne Arundel,209626,148426,47573,"Anne Arundel County, Maryland",24003,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Baltimore,333175,211526,104016,"Baltimore County, Maryland",24005,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Calvert,33220,25754,4559,"Calvert County, Maryland",24009,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Carroll,62027,49854,9558,"Carroll County, Maryland",24013,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Cecil,40529,27046,9136,"Cecil County, Maryland",24015,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Charles,53586,40454,9444,"Charles County, Maryland",24017,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Dorchester,16347,9496,3851,"Dorchester County, Maryland",24019,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Frederick,88435,64112,19343,"Frederick County, Maryland",24021,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Harford,94798,72944,16477,"Harford County, Maryland",24025,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Howard,106927,76443,25828,"Howard County, Maryland",24027,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Montgomery,371761,244815,108362,"Montgomery County, Maryland",24031,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Prince George's,325165,194047,107859,"Prince George's County, Maryland",24033,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Queen Anne's,19824,14580,2608,"Queen Anne's County, Maryland",24035,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
St. Mary's,40541,26418,9835,"St. Mary's County, Maryland",24037,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
