County_name,1-2units_00,+3units_00,1-2units,+3units,CSA,CSA_name,STCO
Alameda,16510,17985,14921,21559,488,"San Jose-San Francisco-Oakland, CA",06001
Contra Costa,34464,8556,13905,5476,488,"San Jose-San Francisco-Oakland, CA",06013
Los Angeles,81456,85636,41799,101532,348,"Los Angeles-Long Beach, CA",06037
Marin,3384,1550,1409,1260,488,"San Jose-San Francisco-Oakland, CA",06041
Napa,4360,1144,1378,288,488,"San Jose-San Francisco-Oakland, CA",06055
Orange,41808,32441,30152,40311,348,"Los Angeles-Long Beach, CA",06059
Riverside,167696,23867,43901,11637,348,"Los Angeles-Long Beach, CA",06065
San Benito,1333,80,1669,5,488,"San Jose-San Francisco-Oakland, CA",06069
San Bernardino,80855,11867,22027,9774,348,"Los Angeles-Long Beach, CA",06071
San Francisco,1247,14845,890,26362,488,"San Jose-San Francisco-Oakland, CA",06075
San Joaquin,39617,1969,12165,1805,488,"San Jose-San Francisco-Oakland, CA",06077
San Mateo,5784,4423,3488,7450,488,"San Jose-San Francisco-Oakland, CA",06081
Santa Clara,18402,26959,13814,40199,488,"San Jose-San Francisco-Oakland, CA",06085
Santa Cruz,4224,1810,1738,1147,488,"San Jose-San Francisco-Oakland, CA",06087
Solano,14188,3268,6136,1113,488,"San Jose-San Francisco-Oakland, CA",06095
Sonoma,12462,4897,4775,2375,488,"San Jose-San Francisco-Oakland, CA",06097
Ventura,17637,6835,4769,6122,348,"Los Angeles-Long Beach, CA",06111
Adams,28414,8051,10685,2597,216,"Denver-Aurora, CO",08001
Arapahoe,24068,15393,12220,9711,216,"Denver-Aurora, CO",08005
Boulder,9864,3276,5279,6462,216,"Denver-Aurora, CO",08013
Broomfield,3198,1086,3102,3481,216,"Denver-Aurora, CO",08014
Clear Creek,390,8,130,10,216,"Denver-Aurora, CO",08019
Denver,16371,14194,14679,36980,216,"Denver-Aurora, CO",08031
Douglas,30647,6888,15836,6545,216,"Denver-Aurora, CO",08035
Elbert,1828,31,831,0,216,"Denver-Aurora, CO",08039
Gilpin,553,3,195,4,216,"Denver-Aurora, CO",08047
Jefferson,11018,5201,8739,5843,216,"Denver-Aurora, CO",08059
Park,2647,0,1059,4,216,"Denver-Aurora, CO",08093
Weld,27604,2902,15864,3354,216,"Denver-Aurora, CO",08123
Fairfield,13549,4635,7390,10234,408,"New York-Newark, NY-NJ-CT-PA",09001
Litchfield,5334,107,1465,102,408,"New York-Newark, NY-NJ-CT-PA",09005
New Haven,11587,3139,4743,3847,408,"New York-Newark, NY-NJ-CT-PA",09009
Windham,3716,136,1221,71,148,"Boston-Worcester-Providence, MA-RI-NH-CT",09015
Kent,11816,1226,8356,1574,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",10001
New Castle,13374,2629,9293,3630,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",10003
District of Columbia,2058,11473,3196,30767,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",11001
Broward,41447,27839,12433,19471,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12011
Indian River,17128,3503,6074,230,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12061
Martin,8544,2424,2796,422,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12085
Miami-Dade,59517,74168,18515,47779,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12086
Okeechobee,1398,51,533,0,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12093
Palm Beach,60764,27836,20918,16345,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12099
St. Lucie,36039,6343,7345,1076,370,"Miami-Fort Lauderdale-Port St. Lucie, FL",12111
Barrow,9111,18,2513,408,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13013
Bartow,7879,1076,2482,75,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13015
Butts,1917,115,264,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13035
Carroll,12049,1425,1477,497,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13045
Cherokee,25922,3264,12178,1646,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13057
Clarke,5792,3381,1377,1772,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13059
Clayton,17268,3681,2690,20,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13063
Cobb,35586,8726,11750,9438,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13067
Coweta,13120,1282,5913,567,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13077
Dawson,3014,44,1195,348,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13085
DeKalb,29151,19225,6862,9275,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13089
Douglas,12320,1695,2100,332,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13097
Fayette,6544,240,2540,307,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13113
Forsyth,25441,987,19674,3169,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13117
Fulton,49840,58296,21057,38122,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13121
Gordon,3249,995,713,175,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13129
Gwinnett,68358,9109,22231,3566,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13135
Hall,13084,1628,5777,1076,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13139
Haralson,1033,27,271,33,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13143
Heard,398,0,156,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13149
Henry,26705,3702,7287,450,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13151
Jackson,8526,50,3795,184,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13157
Jasper,1468,0,512,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13159
Lamar,1083,157,279,114,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13171
Madison,1442,0,501,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13195
Meriwether,1332,36,320,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13199
Morgan,1563,81,563,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13211
Newton,14182,760,1828,50,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13217
Oconee,3415,3,2416,127,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13219
Oglethorpe,657,6,390,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13221
Paulding,21515,1446,7147,58,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13223
Pickens,3291,176,680,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13227
Pike,1867,3,450,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13231
Polk,2001,228,430,134,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13233
Rockdale,6189,616,1131,28,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13247
Spalding,3713,77,1590,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13255
Troup,3254,661,1199,364,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13285
Upson,834,36,187,56,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13293
Walton,10201,427,2441,67,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13297
Bureau,478,92,233,56,176,"Chicago-Naperville, IL-IN-WI",17011
Cook,43940,81854,13511,49702,176,"Chicago-Naperville, IL-IN-WI",17031
DeKalb,5371,1362,742,102,176,"Chicago-Naperville, IL-IN-WI",17037
DuPage,20840,5778,8279,2646,176,"Chicago-Naperville, IL-IN-WI",17043
Grundy,3584,531,692,875,176,"Chicago-Naperville, IL-IN-WI",17063
Kane,35664,4912,8799,2422,176,"Chicago-Naperville, IL-IN-WI",17089
Kankakee,4108,389,951,156,176,"Chicago-Naperville, IL-IN-WI",17091
Kendall,10559,1271,2280,230,176,"Chicago-Naperville, IL-IN-WI",17093
Lake,25855,4553,5717,2641,176,"Chicago-Naperville, IL-IN-WI",17097
LaSalle,2819,517,776,293,176,"Chicago-Naperville, IL-IN-WI",17099
McHenry,25371,1617,3532,1511,176,"Chicago-Naperville, IL-IN-WI",17111
Putnam,307,0,160,0,176,"Chicago-Naperville, IL-IN-WI",17155
Will,54348,2597,8966,1545,176,"Chicago-Naperville, IL-IN-WI",17197
Jasper,1943,100,765,10,176,"Chicago-Naperville, IL-IN-WI",18073
Lake,15686,3260,8032,1314,176,"Chicago-Naperville, IL-IN-WI",18089
LaPorte,3178,335,1247,410,176,"Chicago-Naperville, IL-IN-WI",18091
Newton,459,11,178,0,176,"Chicago-Naperville, IL-IN-WI",18111
Porter,8077,1069,3518,902,176,"Chicago-Naperville, IL-IN-WI",18127
Anne Arundel,14254,4780,12549,7014,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24003
Baltimore,13585,4979,6899,4149,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24005
Calvert,5089,98,2493,5,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24009
Carroll,7589,651,2572,206,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24013
Cecil,5265,881,1902,1088,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",24015
Charles,8819,1040,6770,1560,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24017
Dorchester,1764,366,524,328,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24019
Frederick,12618,1760,8151,3527,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24021
Harford,12594,1643,5856,2318,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24025
Howard,10104,3001,9683,5430,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24027
Montgomery,18349,15193,12450,11520,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24031
Prince George's,21033,1562,11851,2504,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24033
Queen Anne's,3186,15,1673,95,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24035
St. Mary's,7026,769,6928,361,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24037
Talbot,3944,0,1488,40,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24041
Washington,7584,1111,2078,448,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24043
Baltimore,2347,2057,1789,6472,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24510
Barnstable,9688,1001,4484,1050,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25001
Bristol,11061,1693,5922,1591,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25005
Essex,9324,6932,6496,3560,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25009
Middlesex,17209,12737,15044,15821,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25017
Norfolk,7396,8489,6459,7674,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25021
Plymouth,12595,2494,8108,2581,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25023
Suffolk,2320,8598,1257,23510,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25025
Worcester,22252,2102,10460,2202,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25027
Genesee,12818,3310,2100,325,220,"Detroit-Warren-Ann Arbor, MI",26049
Lapeer,3401,11,789,16,220,"Detroit-Warren-Ann Arbor, MI",26087
Lenawee,3711,141,1089,0,220,"Detroit-Warren-Ann Arbor, MI",26091
Livingston,11792,1471,4054,512,220,"Detroit-Warren-Ann Arbor, MI",26093
